Name,First Name,Last Name,Team,Position,OVR
Jonathan Compas,Jonathan,Compas,Buccaneers,C,66
Evan Dietrich-Smith,Evan,Dietrich-Smith,Packers,C,65
C Gaddis,C,Gaddis,Bills,C,65
Ben Claxton,Ben,Claxton,Cardinals,C,65
Will Montgomery,Will,Montgomery,Redskins,C,65
Nick Leckey,Nick,Leckey,Saints,C,65
J Walton,J,Walton,Broncos,C,64
Chris White,Chris,White,Texans,C,63
Jon Cooper,Jon,Cooper,Vikings,C,63
Ryan Wendell,Ryan,Wendell,Patriots,C,61
Darrelle Revis,Darrelle,Revis,Jets,CB,99
Nnamdi Asomugha,Nnamdi,Asomugha,Raiders,CB,98
Charles Woodson,Charles,Woodson,Packers,CB,97
Asante Samuel,Asante,Samuel,Eagles,CB,94
J Joseph,J,Joseph,Bengals,CB,93
Rashean Mathis,Rashean,Mathis,Jaguars,CB,92
L Hall,L,Hall,Bengals,CB,92
Cortland Finnegan,Cortland,Finnegan,Titans,CB,92
Chris Gamble,Chris,Gamble,Panthers,CB,91
Chris Gamble,Chris,Gamble,Panthers,CB,91
Dominique Rodgers-Cromartie,Dominique,Rodgers-Cromartie,Cardinals,CB,90
Corey Webster,Corey,Webster,Giants,CB,89
Antoine Winfield,Antoine,Winfield,Vikings,CB,88
Antoine Cason,Antoine,Cason,Chargers,CB,88
Deangelo Hall,Deangelo,Hall,Redskins,CB,88
Terence Newman,Terence,Newman,Cowboys,CB,87
Aqib Talib,Aqib,Talib,Buccaneers,CB,87
Quentin Jammer,Quentin,Jammer,Chargers,CB,87
Marcus Trufant,Marcus,Trufant,Seahawks,CB,87
Sheldon Brown,Sheldon,Brown,Browns,CB,87
Vontae Davis,Vontae,Davis,Dolphins,CB,86
Eric Wright,Eric,Wright,Browns,CB,86
Devin McCourty,Devin,McCourty,Patriots,CB,86
Eric Wright,Eric,Wright,Browns,CB,86
Vontae Davis,Vontae,Davis,Dolphins,CB,86
Brandon Flowers,Brandon,Flowers,Chiefs,CB,85
Mike Jenkins,Mike,Jenkins,Cowboys,CB,85
Kelvin Hayden,Kelvin,Hayden,Colts,CB,85
Terrell Thomas,Terrell,Thomas,Giants,CB,85
C Tillman,C,Tillman,Bears,CB,85
Al Harris,Al,Harris,Packers,CB,85
DeAngelo Hall,DeAngelo,Hall,Redskins,CB,85
Dunta Robinson,Dunta,Robinson,Falcons,CB,85
Al Harris,Al,Harris,Packers,CB,85
DeAngelo Hall,DeAngelo,Hall,Redskins,CB,85
Nate Clements,Nate,Clements,49ers,CB,84
Ike Taylor,Ike,Taylor,Steelers,CB,84
Terrell Thomas,Terrell,Thomas,Giants,CB,84
Ronde Barber,Ronde,Barber,Buccaneers,CB,84
Cedric Griffin,Cedric,Griffin,Vikings,CB,82
A Goodman,A,Goodman,Broncos,CB,82
Derek Cox,Derek,Cox,Jaguars,CB,82
Vontae Davis,Vontae,Davis,Dolphins,CB,82
Domonique Foxworth,Domonique,Foxworth,Ravens,CB,82
Leigh Bodden,Leigh,Bodden,Patriots,CB,82
Richard Marshall,Richard,Marshall,Panthers,CB,82
Leigh Bodden,Leigh,Bodden,Patriots,CB,82
Derek Cox,Derek,Cox,Jaguars,CB,82
Vontae Davis,Vontae,Davis,Dolphins,CB,82
Josh Wilson,Josh,Wilson,Seahawks,CB,82
Will Allen,Will,Allen,Dolphins,CB,81
L McKelvin,L,McKelvin,Bills,CB,81
Ronald Bartell,Ronald,Bartell,Rams,CB,81
Shawntae Spencer,Shawntae,Spencer,49ers,CB,81
Jerraud Powers,Jerraud,Powers,Colts,CB,81
Richard Marshall,Richard,Marshall,Panthers,CB,82
Leigh Bodden,Leigh,Bodden,Patriots,CB,82
Derek Cox,Derek,Cox,Jaguars,CB,82
Vontae Davis,Vontae,Davis,Dolphins,CB,82
Josh Wilson,Josh,Wilson,Seahawks,CB,82
Will Allen,Will,Allen,Dolphins,CB,81
L McKelvin,L,McKelvin,Bills,CB,81
Ronald Bartell,Ronald,Bartell,Rams,CB,81
Shawntae Spencer,Shawntae,Spencer,49ers,CB,81
Jerraud Powers,Jerraud,Powers,Colts,CB,81
Bryant McFadden,Bryant,McFadden,Steelers,CB,79
Sean Smith,Sean,Smith,Dolphins,CB,79
Joe Haden,Joe,Haden,Browns,CB,79
Carlos Rogers,Carlos,Rogers,Redskins,CB,79
Devin McCourty,Devin,McCourty,Patriots,CB,79
Antoine Cason,Antoine,Cason,Chargers,CB,78
Aaron Ross,Aaron,Ross,Giants,CB,78
Lito Sheppard,Lito,Sheppard,Vikings,CB,77
Brian Williams,Brian,Williams,Falcons,CB,77
Kyle Wilson,Kyle,Wilson,Jets,CB,76
Chris Johnson,Chris,Johnson,Raiders,CB,76
Darius Butler,Darius,Butler,Patriots,CB,76
Glover Quin Jr.,Glover,Quin Jr.,Texans,CB,76
Patrick Robinson,Patrick,Robinson,Saints,CB,75
Randall Gay,Randall,Gay,Saints,CB,75
Gregory Toler,Gregory,Toler,Cardinals,CB,75
Deshea Townsend,Deshea,Townsend,Colts,CB,75
Orlando Scandrick,Orlando,Scandrick,Cowboys,CB,75
Brent Grimes,Brent,Grimes,Falcons,CB,75
Bruce Johnson,Bruce,Johnson,Giants,CB,75
Tramon Williams,Tramon,Williams,Packers,CB,75
Z Bowman,Z,Bowman,Bears,CB,74
P Jones,P,Jones,Bengals,CB,74
Lardarius Webb,Lardarius,Webb,Ravens,CB,74
Phillip Buchanon,Phillip,Buchanon,Redskins,CB,74
Joselio Hanson,Joselio,Hanson,Eagles,CB,74
Dwight Lowery,Dwight,Lowery,Jets,CB,74
Devin McCourty,Devin,McCourty,Patriots,CB,74
Tarell Brown,Tarell,Brown,49ers,CB,73
Mike Adams,Mike,Adams,Browns,CB,73
Fabian Washington,Fabian,Washington,Ravens,CB,72
Justin Tryon,Justin,Tryon,Redskins,CB,72
Kelly Jennings,Kelly,Jennings,Seahawks,CB,72
Kareem Jackson,Kareem,Jackson,Texans,CB,72
William James,William,James,49ers,CB,72
Macho Harris,Macho,Harris,Eagles,CB,72
Chris Owens,Chris,Owens,Falcons,CB,72
Brandon Carr,Brandon,Carr,Chiefs,CB,72
Captain Munnerlyn,Captain,Munnerlyn,Panthers,CB,72
P Cox,P,Cox,Broncos,CB,71
Jacob Lacey,Jacob,Lacey,Colts,CB,71
Javier Arenas,Javier,Arenas,Chiefs,CB,71
Chris Houston,Chris,Houston,Lions,CB,71
Dre Bly,Dre,Bly,Lions,CB,70
D Manning,D,Manning,Bears,CB,70
Jerome Murphy,Jerome,Murphy,Rams,CB,70
Chris Cook,Chris,Cook,Vikings,CB,70
William Gay,William,Gay,Steelers,CB,69
Benny Sapp,Benny,Sapp,Vikings,CB,69
A Smith,A,Smith,Broncos,CB,69
Nathan Vasher,Nathan,Vasher,Chargers,CB,69
Brandon McDonald,Brandon,McDonald,Lions,CB,68
D Florence,D,Florence,Bills,CB,68
T Jennings,T,Jennings,Bears,CB,68
K Ratliff,K,Ratliff,Bengals,CB,68
B Ghee,B,Ghee,Bengals,CB,68
Brandon McDonald,Brandon,McDonald,Browns,CB,68
Elbert Mack,Elbert,Mack,Buccaneers,CB,68
Donald Strickland,Donald,Strickland,Chargers,CB,68
Jonathan Wilhite,Jonathan,Wilhite,Patriots,CB,68
Bradley Fletcher,Bradley,Fletcher,Rams,CB,68
Jacques Reeves,Jacques,Reeves,Texans,CB,68
Brice McCain,Brice,McCain,Texans,CB,68
Tye Hill,Tye,Hill,Titans,CB,68
Jason McCourty,Jason,McCourty,Titans,CB,68
Asher Allen,Asher,Allen,Vikings,CB,68
Chevis Jackson,Chevis,Jackson,Falcons,CB,68
Amari Spievey,Amari,Spievey,Lions,CB,68
Jonathan Wade,Jonathan,Wade,Lions,CB,68
Mike Richardson,Mike,Richardson,Chiefs,CB,67
Brandon Underwood,Brandon,Underwood,Packers,CB,67
Stanford Routt,Stanford,Routt,Raiders,CB,67
N Jones,N,Jones,Broncos,CB,67
M Trent,M,Trent,Bengals,CB,67
Coye Francies,Coye,Francies,Browns,CB,67
Sam Shields,Sam,Shields,Packers,CB,67
Quincy Butler,Quincy,Butler,Rams,CB,66
Travis Fisher,Travis,Fisher,Ravens,CB,66
Joe Burnett,Joe,Burnett,Steelers,CB,66
Fred Bennett,Fred,Bennett,Texans,CB,66
Alterraun Verner,Alterraun,Verner,Titans,CB,66
S Thompson,S,Thompson,Broncos,CB,66
C Graham,C,Graham,Bears,CB,66
Myron Lewis,Myron,Lewis,Buccaneers,CB,66
Scott Starks,Scott,Starks,Jaguars,CB,66
Eric King,Eric,King,Lions,CB,66
Marquice Cole,Marquice,Cole,Jets,CB,66
Dominique Franks,Dominique,Franks,Falcons,CB,65
Dante Wesley,Dante,Wesley,Lions,CB,65
Josh Bell,Josh,Bell,Packers,CB,65
A Youboty,A,Youboty,Bills,CB,65
Chris Carr,Chris,Carr,Ravens,CB,65
Sherrick McManis,Sherrick,McManis,Texans,CB,65
Leigh Torrence,Leigh,Torrence,Saints,CB,64
Karl Paymah,Karl,Paymah,49ers,CB,64
D Moore,D,Moore,Bears,CB,64
Dante Hughes,Dante,Hughes,Chargers,CB,64
Jamar Wall,Jamar,Wall,Cowboys,CB,64
Jason Allen,Jason,Allen,Dolphins,CB,64
Trevard Lindley,Trevard,Lindley,Eagles,CB,64
Walter McFadden,Walter,McFadden,Raiders,CB,64
Don Carey,Don,Carey,Jaguars,CB,63
Maurice Leggett,Maurice,Leggett,Chiefs,CB,63
Jarrett Bush,Jarrett,Bush,Packers,CB,63
Pat Lee,Pat,Lee,Packers,CB,63
Jeremy Ware,Jeremy,Ware,Raiders,CB,63
R Corner,R,Corner,Bills,CB,63
J Moore,J,Moore,Bears,CB,63
Gerard Lawson,Gerard,Lawson,Browns,CB,63
Brandon Hughes,Brandon,Hughes,Chargers,CB,63
Justin King,Justin,King,Rams,CB,63
Kevin Barnes,Kevin,Barnes,Redskins,CB,63
Ryan Mouton,Ryan,Mouton,Titans,CB,63
Terrence Wheatley,Terrence,Wheatley,Patriots,CB,62
Byron Westbrook,Byron,Westbrook,Redskins,CB,62
Roy Lewis,Roy,Lewis,Seahawks,CB,62
Trumaine McBride,Trumaine,McBride,Cardinals,CB,62
Michael Adams,Michael,Adams,Cardinals,CB,62
Donald Washington,Donald,Washington,Chiefs,CB,62
C.J. Wilson,C.J.,Wilson,Panthers,CB,62
E Lankster,E,Lankster,Bills,CB,61
Keenan Lewis,Keenan,Lewis,Steelers,CB,61
Drew Coleman,Drew,Coleman,Jets,CB,61
Tyron Brackenridge,Tyron,Brackenridge,Jaguars,CB,60
Jack Williams,Jack,Williams,Lions,CB,60
D Jones,D,Jones,Bengals,CB,60
Terrail Lambert,Terrail,Lambert,Colts,CB,60
Walter Thurmond III,Walter,Thurmond III,Seahawks,CB,60
E.J. Biggers,E.J.,Biggers,Buccaneers,CB,59
Nolan Carroll,Nolan,Carroll,Dolphins,CB,59
Cletis Gordon,Cletis,Gordon,Cowboys,CB,58
Marcus Hudson,Marcus,Hudson,Panthers,CB,58
Cary Williams,Cary,Williams,Ravens,CB,58
Kevin Williams,Kevin,Williams,Vikings,DT,97
Vince Wilfork,Vince,Wilfork,Patriots,DT,95
Jay Ratliff,Jay,Ratliff,Cowboys,DT,94
Kris Jenkins,Kris,Jenkins,Jets,DT,94
Shaun Rogers,Shaun,Rogers,Browns,DT,93
Casey Hampton,Casey,Hampton,Steelers,DT,91
Casey Hampton,Casey,Hampton,Steelers,DT,91
Ndamukong Suh,Ndamukong,Suh,Lions,DT,90
Aubrayo Franklin,Aubrayo,Franklin,49ers,DT,90
Randy Starks,Randy,Starks,Dolphins,DT,89
Randy Starks,Randy,Starks,Dolphins,DT,89
Pat Williams,Pat,Williams,Vikings,DT,88
Ndamukong Suh,Ndamukong,Suh,Lions,DT,88
Sedrick Ellis,Sedrick,Ellis,Saints,DT,88
Brodrick Bunkley,Brodrick,Bunkley,Eagles,DT,88
J Williams,J,Williams,Broncos,DT,87
Tony Brown,Tony,Brown,Titans,DT,87
T Harris,T,Harris,Bears,DT,87
Brandon Mebane,Brandon,Mebane,Seahawks,DT,86
Jonathan Babineaux,Jonathan,Babineaux,Falcons,DT,86
D Peko,D,Peko,Bengals,DT,86
Brandon Mebane,Brandon,Mebane,Seahawks,DT,86
Ndamukong Suh,Ndamukong,Suh,Lions,DT,85
Jason Jones,Jason,Jones,Titans,DT,84
John Henderson,John,Henderson,Raiders,DT,84
Gerald McCoy,Gerald,McCoy,Buccaneers,DT,84
Kelly Gregg,Kelly,Gregg,Ravens,DT,84
Terrance Knighton,Terrance,Knighton,Jaguars,DT,83
Mike Patterson,Mike,Patterson,Eagles,DT,83
Tyson Alualu,Tyson,Alualu,Jaguars,DT,82
John Henderson,John,Henderson,Raiders,DT,81
Barry Cofield,Barry,Cofield,Giants,DT,81
Tyson Alualu,Tyson,Alualu,Jaguars,DT,82
John Henderson,John,Henderson,Raiders,DT,81
Barry Cofield,Barry,Cofield,Giants,DT,81
K Williams,K,Williams,Bills,DT,79
B.J. Raji,B.J.,Raji,Packers,DT,79
Jovan Haye,Jovan,Haye,Titans,DT,78
Antonio Johnson,Antonio,Johnson,Colts,DT,78
Peria Jerry,Peria,Jerry,Falcons,DT,78
Corey Williams,Corey,Williams,Lions,DT,78
Tommy Kelly,Tommy,Kelly,Raiders,DT,78
P Sims,P,Sims,Bengals,DT,77
T Johnson,T,Johnson,Bengals,DT,77
Cliff Ryan,Cliff,Ryan,Rams,DT,77
Jason Jones,Jason,Jones,Titans,DT,77
Chris Canty,Chris,Canty,Giants,DT,77
Paul Soliai,Paul,Soliai,Dolphins,DT,76
Tyson Alualu,Tyson,Alualu,Jaguars,DT,76
Jay Alford,Jay,Alford,Giants,DT,76
R Fields,R,Fields,Broncos,DT,76
J Fanene,J,Fanene,Bengals,DT,76
Dan Williams,Dan,Williams,Cardinals,DT,76
Ma'ake Kemoeatu,Ma'ake,Kemoeatu,Redskins,DT,76
Remi Ayodele,Remi,Ayodele,Saints,DT,76
Colin Cole,Colin,Cole,Seahawks,DT,76
Chris Hovan,Chris,Hovan,Rams,DT,75
Brian Price,Brian,Price,Buccaneers,DT,75
Daniel Muir,Daniel,Muir,Colts,DT,75
Rocky Bernard,Rocky,Bernard,Giants,DT,75
Sammie Hill,Sammie,Hill,Lions,DT,75
Ahtyba Rubin,Ahtyba,Rubin,Browns,DT,74
Tony Hargrove,Tony,Hargrove,Saints,DT,74
Chris Hoke,Chris,Hoke,Steelers,DT,74
Amobi Okoye,Amobi,Okoye,Texans,DT,74
Ron Edwards,Ron,Edwards,Chiefs,DT,74
Kedric Golston,Kedric,Golston,Redskins,DT,73
Shaun Cody,Shaun,Cody,Texans,DT,73
Jimmy Kennedy,Jimmy,Kennedy,Vikings,DT,73
Terrence Cody,Terrence,Cody,Ravens,DT,72
Ryan Sims,Ryan,Sims,Buccaneers,DT,72
Bryan Robinson,Bryan,Robinson,Cardinals,DT,72
Atiyyah Ellison,Atiyyah,Ellison,Jaguars,DT,72
Shaun Smith,Shaun,Smith,Chiefs,DT,72
Sione Pouha,Sione,Pouha,Jets,DT,72
A Adams,A,Adams,Bears,DT,71
Roy Miller,Roy,Miller,Buccaneers,DT,71
Eric Foster,Eric,Foster,Colts,DT,71
Thomas Johnson,Thomas,Johnson,Falcons,DT,71
Tank Tyler,Tank,Tyler,Panthers,DT,70
Lamarr Houston,Lamarr,Houston,Raiders,DT,70
Ogemdi Nwagbuo,Ogemdi,Nwagbuo,Chargers,DT,69
Louis Leonard,Louis,Leonard,Panthers,DT,69
Nick Hayden,Nick,Hayden,Panthers,DT,69
Geno Atkins,Geno,Atkins,Bengals,DT,69
Ricky Jean-Francois,Ricky,Jean-Francois,49ers,DT,68
M Harrison,M,Harrison,Bears,DT,68
Gabe Watson,Gabe,Watson,Cardinals,DT,68
Myron Pryor,Myron,Pryor,Patriots,DT,68
Sen Derrick Marks,Sen,Derrick Marks,Titans,DT,68
D Anthony Smith,D,Anthony Smith,Jaguars,DT,68
Linval Joseph,Linval,Joseph,Giants,DT,68
Vance Walker,Vance,Walker,Falcons,DT,67
Howard Green,Howard,Green,Redskins,DT,66
Fili Moala,Fili,Moala,Colts,DT,66
Trevor Laws,Trevor,Laws,Eagles,DT,66
Antonio Dixon,Antonio,Dixon,Eagles,DT,66
William Joseph,William,Joseph,Raiders,DT,66
Desmond Bryant,Desmond,Bryant,Raiders,DT,66
J Gilbert,J,Gilbert,Bears,DT,65
Brandon McKinney,Brandon,McKinney,Ravens,DT,65
DeMario Pressley,DeMario,Pressley,Saints,DT,65
Kevin Vickerson,Kevin,Vickerson,Seahawks,DT,65
Darell Scott,Darell,Scott,Rams,DT,64
Earl Mitchell,Earl,Mitchell,Texans,DT,64
C Baker,C,Baker,Broncos,DT,64
Corey Peters,Corey,Peters,Falcons,DT,64
Landon Cohen,Landon,Cohen,Lions,DT,64
Anthony Toribio,Anthony,Toribio,Packers,DT,63
Cam Thomas,Cam,Thomas,Chargers,DT,63
Junior Siavii,Junior,Siavii,Cowboys,DT,63
Scott Paxson,Scott,Paxson,Steelers,DT,63
Frank Okam,Frank,Okam,Texans,DT,63
Deljuan Robinson,Deljuan,Robinson,Texans,DT,62
Corvey Irvin,Corvey,Irvin,Panthers,DT,62
Vaughn Martin,Vaughn,Martin,Chargers,DT,61
Al Woods,Al,Woods,Saints,DT,61
Montavious Stanley,Montavious,Stanley,Dolphins,DT,61
Andre Fluellen,Andre,Fluellen,Lions,DT,61
Khalif Mitchell,Khalif,Mitchell,49ers,DT,60
T Troup,T,Troup,Bills,DT,60
Craig Terrill,Craig,Terrill,Seahawks,DT,60
Fred Evans,Fred,Evans,Vikings,DT,60
Dion Gales,Dion,Gales,Chiefs,DT,58
Letroy Guion,Letroy,Guion,Vikings,DT,58
Dre Moore,Dre,Moore,Buccaneers,DT,57
Brian Schaefering,Brian,Schaefering,Browns,DT,56
Ryan Baker,Ryan,Baker,Dolphins,DT,56
Rodrique Wright,Rodrique,Wright,Jets,DT,51
Tony Richardson,Tony,Richardson,Jets,FB,94
Lousaka Polite,Lousaka,Polite,Dolphins,FB,91
Leonard Weaver,Leonard,Weaver,Eagles,FB,90
Le Ron McClain,Le,Ron McClain,Ravens,FB,90
Ovie Mughelli,Ovie,Mughelli,Falcons,FB,88
Lawrence Vickers,Lawrence,Vickers,Browns,FB,88
Madison Hedgecock,Madison,Hedgecock,Giants,FB,86
Mike Karney,Mike,Karney,Rams,FB,85
Vonta Leach,Vonta,Leach,Texans,FB,84
Greg Jones,Greg,Jones,Jaguars,FB,84
Mike Sellers,Mike,Sellers,Redskins,FB,84
Ahmard Hall,Ahmard,Hall,Titans,FB,84
Heath Evans,Heath,Evans,Saints,FB,82
Heath Evans,Heath,Evans,Saints,FB,82
Earnest Graham,Earnest,Graham,Buccaneers,FB,78
Jerome Felton,Jerome,Felton,Lions,FB,78
Moran Norris,Moran,Norris,49ers,FB,77
Owen Schmitt,Owen,Schmitt,Seahawks,FB,77
Vonta Leach,Vonta,Leach,Texans,FB,77
Deon Anderson,Deon,Anderson,Cowboys,FB,76
Justin Griffith,Justin,Griffith,Texans,FB,76
Naufahu Tahi,Naufahu,Tahi,Vikings,FB,76
Jacob Hester,Jacob,Hester,Chargers,FB,74
Mike Tolbert,Mike,Tolbert,Chargers,FB,74
John Kuhn,John,Kuhn,Packers,FB,73
Korey Hall,Korey,Hall,Packers,FB,72
Mike Cox,Mike,Cox,Chiefs,FB,70
C McIntyre,C,McIntyre,Bills,FB,70
Gijon Robinson,Gijon,Robinson,Colts,FB,70
F Vakapuna,F,Vakapuna,Bengals,FB,68
Montell Owens,Montell,Owens,Jaguars,FB,68
John Conner,John,Conner,Jets,FB,67
Quinn Johnson,Quinn,Johnson,Packers,FB,66
Tony Fiammetta,Tony,Fiammetta,Panthers,FB,66
Marcel Reece,Marcel,Reece,Raiders,FB,63
Chris Pressley,Chris,Pressley,Buccaneers,FB,63
Frank Summers,Frank,Summers,Steelers,FB,58
Nehemiah Broughton,Nehemiah,Broughton,Cardinals,FB,57
E Williams,E,Williams,Bears,FB,56
S Larsen,S,Larsen,Broncos,FB,50
Ed Reed,Ed,Reed,Ravens,FS,97
Antoine Bethea,Antoine,Bethea,Colts,FS,95
Antoine Bethea,Antoine,Bethea,Colts,FS,95
Darren Sharper,Darren,Sharper,Saints,FS,94
Nick Collins,Nick,Collins,Packers,FS,93
O.J. Atogwe,O.J.,Atogwe,Rams,FS,92
B Dawkins,B,Dawkins,Broncos,FS,90
Tanard Jackson,Tanard,Jackson,Buccaneers,FS,88
Kerry Rhodes,Kerry,Rhodes,Cardinals,FS,88
J Byrd,J,Byrd,Bills,FS,87
Michael Griffin,Michael,Griffin,Titans,FS,86
Eric Berry,Eric,Berry,Chiefs,FS,85
Eric Weddle,Eric,Weddle,Chargers,FS,85
Louis Delmas,Louis,Delmas,Lions,FS,85
Antrel Rolle,Antrel,Rolle,Giants,FS,85
Marlin Jackson,Marlin,Jackson,Eagles,FS,82
Marlin Jackson,Marlin,Jackson,Eagles,FS,82
Erik Coleman,Erik,Coleman,Falcons,FS,81
Jordan Babineaux,Jordan,Babineaux,Seahawks,FS,81
Marlin Jackson,Marlin,Jackson,Eagles,FS,82
Erik Coleman,Erik,Coleman,Falcons,FS,81
Jordan Babineaux,Jordan,Babineaux,Seahawks,FS,81
Eugene Wilson,Eugene,Wilson,Texans,FS,79
C Crocker,C,Crocker,Bengals,FS,78
Michael Huff,Michael,Huff,Raiders,FS,78
James Sanders,James,Sanders,Patriots,FS,77
Malcolm Jenkins,Malcolm,Jenkins,Saints,FS,77
Reggie Nelson,Reggie,Nelson,Jaguars,FS,77
Eric Smith,Eric,Smith,Jets,FS,77
Tom Zbikowski,Tom,Zbikowski,Ravens,FS,76
Ken Hamlin,Ken,Hamlin,Ravens,FS,76
Nate Allen,Nate,Allen,Eagles,FS,75
Sherrod Martin,Sherrod,Martin,Panthers,FS,75
D McBath,D,McBath,Broncos,FS,74
Madieu Williams,Madieu,Williams,Vikings,FS,74
William Moore,William,Moore,Falcons,FS,74
A Afalava,A,Afalava,Bears,FS,73
G Wilson,G,Wilson,Bengals,FS,73
Reed Doughty,Reed,Doughty,Redskins,FS,72
Vincent Fuller,Vincent,Fuller,Titans,FS,72
G Wilson,G,Wilson,Bills,FS,72
Abram Elam,Abram,Elam,Browns,FS,72
Brodney Pool,Brodney,Pool,Jets,FS,72
Hiram Eugene,Hiram,Eugene,Raiders,FS,72
Kevin Payne,Kevin,Payne,Rams,FS,71
Cody Grimm,Cody,Grimm,Buccaneers,FS,70
Chris Horton,Chris,Horton,Redskins,FS,70
Will Allen,Will,Allen,Steelers,FS,70
Alan Ball,Alan,Ball,Cowboys,FS,69
Usama Young,Usama,Young,Saints,FS,68
Troy Nolan,Troy,Nolan,Texans,FS,68
Kurt Coleman,Kurt,Coleman,Eagles,FS,68
Jordan Pugh,Jordan,Pugh,Panthers,FS,68
M Wright,M,Wright,Bears,FS,67
Paul Oliver,Paul,Oliver,Chargers,FS,67
Michael Hamlin,Michael,Hamlin,Cowboys,FS,67
Craig Dahl,Craig,Dahl,Rams,FS,67
C Steltz,C,Steltz,Bears,FS,66
Rashad Johnson,Rashad,Johnson,Cardinals,FS,66
Chris Clemons,Chris,Clemons,Dolphins,FS,66
Derrick Martin,Derrick,Martin,Packers,FS,65
T.J. Ward,T.J.,Ward,Browns,FS,65
Robert Johnson,Robert,Johnson,Titans,FS,64
Corey Lynch,Corey,Lynch,Buccaneers,FS,64
Reshad Jones,Reshad,Jones,Dolphins,FS,64
Anthony Smith,Anthony,Smith,Jaguars,FS,64
Reshard Langford,Reshard,Langford,Chiefs,FS,64
Marvin White,Marvin,White,Lions,FS,63
Husain Abdullah,Husain,Abdullah,Vikings,FS,63
T Nelson,T,Nelson,Bengals,FS,62
Akwasi Owusu-Ansah,Akwasi,Owusu-Ansah,Cowboys,FS,62
Antoine Harris,Antoine,Harris,Eagles,FS,62
Will Blackmon,Will,Blackmon,Packers,FS,62
Ray Ventrone,Ray,Ventrone,Browns,FS,61
Curtis Taylor,Curtis,Taylor,49ers,FS,60
Jamar Adams,Jamar,Adams,Seahawks,FS,54
Chris Johnson,Chris,Johnson,Titans,HB,99
Adrian Peterson,Adrian,Peterson,Vikings,HB,99
Chris Johnson,Chris,Johnson,Titans,HB,99
Adrian Peterson,Adrian,Peterson,Vikings,HB,98
Maurice Jones-Drew,Maurice,Jones-Drew,Jaguars,HB,96
Steven Jackson,Steven,Jackson,Rams,HB,95
Frank Gore,Frank,Gore,49ers,HB,93
DeAngelo Williams,DeAngelo,Williams,Panthers,HB,92
Willis McGahee,Willis,McGahee,Bills,HB,92
Michael Turner,Michael,Turner,Falcons,HB,90
Ray Rice,Ray,Rice,Ravens,HB,90
Larry Johnson,Larry,Johnson,Chiefs,HB,90
Ray Rice,Ray,Rice,Ravens,HB,89
C Benson,C,Benson,Bengals,HB,89
Ray Rice,Ray,Rice,Ravens,HB,89
Ahmad Bradshaw,Ahmad,Bradshaw,Giants,HB,88
Ryan Grant,Ryan,Grant,Packers,HB,88
Thomas Jones,Thomas,Jones,Chiefs,HB,88
Peyton Hillis,Peyton,Hillis,Browns,HB,88
