Name,First Name,Last Name,Team,Position,OVR,,
Reggie Wayne,Reggie,Wayne, Indianapolis Colts,WR,95,,
Anthony Gonzalez,Anthony,Gonzalez, Indianapolis Colts,WR,75,,
Austin Collie,Austin,Collie, Indianapolis Colts,WR,68,,
Pierre Garçon,Pierre,Garçon, Indianapolis Colts,WR,54,,
Dwight Freeney,Dwight,Freeney, Indianapolis Colts,RE,94,,
Robert Mathis,Robert,Mathis, Indianapolis Colts,LE,92,,
Gary Brackett,Gary,Brackett, Indianapolis Colts,MLB,82,,
Bob Sanders,Bob,Sanders, Indianapolis Colts,SS,95,,
Antoine Bethea,Antoine,Bethea, Indianapolis Colts,FS,88,,
Adam Vinatieri,Adam,Vinatieri, Jacksonville Jaguars,K,79,,
David Garrard,David,Garrard, Jacksonville Jaguars,QB,78,,
Maurice Jones-Drew,Maurice,Jones-Drew, Jacksonville Jaguars,RB,89,,
Marcedes Lewis,Marcedes,Lewis, Jacksonville Jaguars,TE,78,,
Torry Holt,Torry,Holt, Jacksonville Jaguars,WR,84,,
Mike Walker,Mike,Walker, Jacksonville Jaguars,WR,59,,
Eugene Monroe,Eugene,Monroe, Jacksonville Jaguars,LT,82,,
Derrick Harvey,Derrick,Harvey, Jacksonville Jaguars,RE,68,,
Reggie Nelson,Reggie,Nelson, Jacksonville Jaguars,FS,83,,
Rashean Mathis,Rashean,Mathis, Kansas City Chiefs,CB,93,,
Matt Cassel,Matt,Cassel, Kansas City Chiefs,QB,83,,
Brodie Croyle,Brodie,Croyle, Kansas City Chiefs,QB,56,,
Larry Johnson,Larry,Johnson, Kansas City Chiefs,RB,88,,
Jamaal Charles,Jamaal,Charles, Kansas City Chiefs,RB,68,,
Dwayne Bowe,Dwayne,Bowe, Kansas City Chiefs,WR,86,,
Glenn Dorsey,Glenn,Dorsey, Kansas City Chiefs,RE,75,,
Derrick Johnson,Derrick,Johnson, Kansas City Chiefs,MLB,83,,
Tamba Hali,Tamba,Hali, Miami Dolphins,LOLB,65,,
Chad Pennington,Chad,Pennington, Miami Dolphins,QB,85,,
Chad Henne,Chad,Henne, Miami Dolphins,QB,66,,
Pat White,Pat,White, Miami Dolphins,QB,65,,
Ronnie Brown,Ronnie,Brown, Miami Dolphins,RB,89,,
Ricky Williams,Ricky,Williams, Miami Dolphins,RB,77,,
Ted Ginn Jr.,Ted,Ginn Jr., Miami Dolphins,WR,78,,
Jake Long,Jake,Long, Miami Dolphins,LT,91,,
Joey Porter,Joey,Porter, Miami Dolphins,ROLB,94,,
Jason Taylor,Jason,Taylor, Minnesota Vikings,LOLB,79,,
Brett Favre,Brett,Favre, Minnesota Vikings,QB,82,, 
Tarvaris Jackson,Tarvaris,Jackson, Minnesota Vikings,QB,67,,
Adrian Peterson,Adrian,Peterson, Minnesota Vikings,RB,97,,
Chester Taylor,Chester,Taylor, Minnesota Vikings,RB,78,,
Visanthe Shiancoe,Visanthe,Shiancoe, Minnesota Vikings,TE,78,,
Bernard Berrian,Bernard,Berrian, Minnesota Vikings,WR,82,,
Percy Harvin,Percy,Harvin, Minnesota Vikings,WR,76,,
Sidney Rice,Sidney,Rice, Minnesota Vikings,WR,71,,
Kevin Williams,Kevin,Williams, Minnesota Vikings,DT,97,,
Jared Allen,Jared,Allen, Minnesota Vikings,RE,98,,
E.J. Henderson,E.J.,Henderson, Minnesota Vikings,MLB,80,,
Antoine Winfield,Antoine,Winfield, New England Patriots,CB,88,,
Tom Brady,Tom,Brady, New England Patriots,QB,97,,
Fred Taylor,Fred,Taylor, New England Patriots,RB,82,,
Laurence Maroney,Laurence,Maroney, New England Patriots,RB,78,,
Ben Watson,Ben,Watson, New England Patriots,TE,80,,
Randy Moss,Randy,Moss, New England Patriots,WR,96,,
Wes Welker,Wes,Welker, New England Patriots,WR,91,,
Richard Seymour,Richard,Seymour, New England Patriots,RE,95,,
Adalius Thomas,Adalius,Thomas, New England Patriots,ROLB,90,,
Jerod Mayo,Jerod,Mayo, New England Patriots,MLB,88,,
Tedy Bruschi,Tedy,Bruschi, New England Patriots,MLB,81,,
Patrick Chung,Patrick,Chung, New Orleans Saints,SS,75,,
Drew Brees,Drew,Brees, New Orleans Saints,QB,96,,
Reggie Bush,Reggie,Bush, New Orleans Saints,RB,79,,
Pierre Thomas,Pierre,Thomas, New Orleans Saints,RB,77,,
Jeremy Shockey,Jeremy,Shockey, New Orleans Saints,TE,85,,
Marques Colston,Marques,Colston, New Orleans Saints,WR,87,,
Lance Moore,Lance,Moore, New Orleans Saints,WR,81,,
Sedrick Ellis,Sedrick,Ellis, New Orleans Saints,DT,85,,
Charles Grant,Charles,Grant, New Orleans Saints,LE,76,,
Jonathan Vilma,Jonathan,Vilma, New Orleans Saints,MLB,87,,
Darren Sharper,Darren,Sharper, New Orleans Saints,FS,87,,
Malcolm Jenkins,Malcolm,Jenkins, New York Giants,CB,79,,
Eli Manning,Eli,Manning, New York Giants,QB,87,,
Brandon Jacobs,Brandon,Jacobs, New York Giants,RB,90,,
Ahmad Bradshaw,Ahmad,Bradshaw, New York Giants,RB,73,,
Kevin Boss,Kevin,Boss, New York Giants,TE,83,,
Hakeem Nicks,Hakeem,Nicks, New York Giants,WR,76,,
Steve Smith,Steve,Smith, New York Giants,WR,76,,
Mario Manningham,Mario,Manningham, New York Giants,WR,63,,
Sinorice Moss,Sinorice,Moss, New York Giants,WR,60,,
Justin Tuck,Justin,Tuck, New York Giants,LE,95,,
Osi Umenyiora,Osi,Umenyiora, New York Giants,RE,94,,
Antonio Pierce,Antonio,Pierce, New York Giants,MLB,86,,
Kenny Phillips,Kenny,Phillips, New York Giants,FS,78,,
Corey Webster,Corey,Webster, New York Jets,CB,90,,
Mark Sanchez,Mark,Sanchez, New York Jets,QB,78,,
Kellen Clemens,Kellen,Clemens, New York Jets,QB,69,,
Thomas Jones,Thomas,Jones, New York Jets,RB,90,,
Leon Washington,Leon,Washington, New York Jets,RB,79,,
Shonn Greene,Shonn,Greene, New York Jets,RB,73,,
Dustin Keller,Dustin,Keller, New York Jets,TE,77,,
Jerricho Cotchery,Jerricho,Cotchery, New York Jets,WR,81,,
Brad Smith,Brad,Smith, New York Jets,WR,66,,
Alan Faneca,Alan,Faneca, New York Jets,LG,97,,
Nick Mangold,Nick,Mangold, New York Jets,C,94,,
D'BrickashawFerguson,#VALUE!,#VALUE!, New York Jets,LT,80,,
Kris Jenkins,Kris,Jenkins, New York Jets,DT,95,,
Shaun Ellis,Shaun,Ellis, New York Jets,LE,86,,
Bart Scott,Bart,Scott, New York Jets,MLB,90,,
Vernon Gholston,Vernon,Gholston, New York Jets,LOLB,70,,
Kerry Rhodes,Kerry,Rhodes, New York Jets,FS,92,,
Darrelle Revis,Darrelle,Revis, New York Jets,CB,91,,
Dwight Lowery,Dwight,Lowery, Oakland Raiders,CB,72,,
JaMarcus Russell,JaMarcus,Russell, Oakland Raiders,QB,72,,
Darren McFadden,Darren,McFadden, Oakland Raiders,RB,79,,
Darrius Heyward-Bey,Darrius,Heyward-Bey, Oakland Raiders,WR,76,,
Javon Walker,Javon,Walker, Oakland Raiders,WR,71,,
Robert Gallery,Robert,Gallery, Oakland Raiders,LG,79,,
Derrick Burgess,Derrick,Burgess, Oakland Raiders,RE,87,,
Michael Huff,Michael,Huff, Oakland Raiders,SS,71,,
Nnamdi Asomugha,Nnamdi,Asomugha, Philadelphia Eagles,CB,99,,
Donovan McNabb,Donovan,McNabb, Philadelphia Eagles,QB,90,,
Michael Vick,Michael,Vick, Philadelphia Eagles,QB,73,, 
 Kevin Kolb,,Kevin Kolb, Philadelphia Eagles,QB,68,,
Brian Westbrook,Brian,Westbrook, Philadelphia Eagles,RB,94,,
LeSean McCoy,LeSean,McCoy, Philadelphia Eagles,RB,75,,
Brent Celek,Brent,Celek, Philadelphia Eagles,TE,73,,
DeSean Jackson,DeSean,Jackson, Philadelphia Eagles,WR,81,,
Jeremy Maclin,Jeremy,Maclin, Philadelphia Eagles,WR,78,,
Kevin Curtis,Kevin,Curtis, Philadelphia Eagles,WR,76,,
Reggie Brown,Reggie,Brown, Philadelphia Eagles,WR,72,,
Hank Baskett,Hank,Baskett, Philadelphia Eagles,WR,64,,
Trent Cole,Trent,Cole, Philadelphia Eagles,RE,91,,
Stewart Bradley,Stewart,Bradley, Philadelphia Eagles,MLB,77,,
Asante Samuel,Asante,Samuel, Pittsburgh Steelers,CB,95,,
Ben Roethlisberger,Ben,Roethlisberger, Pittsburgh Steelers,QB,93,,
Willie Parker,Willie,Parker, Pittsburgh Steelers,RB,86,,
Rashard Mendenhall,Rashard,Mendenhall, Pittsburgh Steelers,RB,72,,
Heath Miller,Heath,Miller, Pittsburgh Steelers,TE,88,,
Hines Ward,Hines,Ward, Pittsburgh Steelers,WR,90,,
Santonio Holmes,Santonio,Holmes, Pittsburgh Steelers,WR,86,,
Limas Sweed,Limas,Sweed, Pittsburgh Steelers,WR,64,,
Mike Wallace,Mike,Wallace, Pittsburgh Steelers,WR,57,,
Ziggy Hood,Ziggy,Hood, Pittsburgh Steelers,RE,75,,
James Harrison,James,Harrison, Pittsburgh Steelers,ROLB,97,,
James Harrison,James,Harrison, Pittsburgh Steelers,MLB,95,,
LaMarr Woodley,LaMarr,Woodley, Pittsburgh Steelers,LOLB,88,,
Lawrence Timmons,Lawrence,Timmons, Pittsburgh Steelers,MLB,74,,
Troy Polamalu,Troy,Polamalu, Pittsburgh Steelers,SS,99,,
Ryan Clark,Ryan,Clark, Pittsburgh Steelers,FS,83,,
Jeff Reed,Jeff,Reed, San Diego Chargers,K,76,,
Philip Rivers,Philip,Rivers, San Diego Chargers,QB,89,,
LaDainian Tomlinson,LaDainian,Tomlinson, San Diego Chargers,RB,94,,
Darren Sproles,Darren,Sproles, San Diego Chargers,RB,85,,
Jacob Hester,Jacob,Hester, San Diego Chargers,FB,70,,
Antonio Gates,Antonio,Gates, San Diego Chargers,TE,95,,
Vincent Jackson,Vincent,Jackson, San Diego Chargers,WR,84,,
Chris Chambers,Chris,Chambers, San Diego Chargers,WR,78,,
Shawne Merriman,Shawne,Merriman, San Diego Chargers,ROLB,89,,
Stephen Cooper,Stephen,Cooper, San Diego Chargers,MLB,77,,
Eric Weddle,Eric,Weddle, San Diego Chargers,FS,84,,
Antonio Cromartie,Antonio,Cromartie, San Francisco 49ers,CB,84,,
Shaun Hill,Shaun,Hill, San Francisco 49ers,QB,69,,
Alex Smith,Alex,Smith, San Francisco 49ers,QB,67,,
Nate Davis,Nate,Davis, San Francisco 49ers,QB,64,,
Frank Gore,Frank,Gore, San Francisco 49ers,RB,91,,
Vernon Davis,Vernon,Davis, San Francisco 49ers,TE,78,,
Michael Crabtree,Michael,Crabtree, San Francisco 49ers,WR,84,,
Isaac Bruce,Isaac,Bruce, San Francisco 49ers,WR,79,,
Josh Morgan,Josh,Morgan, San Francisco 49ers,WR,74,,
Brandon Jones,Brandon,Jones, San Francisco 49ers,WR,70,,
Justin Smith,Justin,Smith, San Francisco 49ers,RE,83,,
Demetric Evans,Demetric,Evans, San Francisco 49ers,LE,61,,
Patrick Willis,Patrick,Willis, San Francisco 49ers,MLB,98,,
Michael Lewis,Michael,Lewis, San Francisco 49ers,SS,80,,
Nate Clements,Nate,Clements, Seattle Seahawks,CB,84,,
Matt Hasselbeck,Matt,Hasselbeck, Seattle Seahawks,QB,84,,
Julius Jones,Julius,Jones, Seattle Seahawks,RB,75,,
T.J. Houshmandzadeh,T.J.,Houshmandzadeh, Seattle Seahawks,WR,91,,
Deion Branch,Deion,Branch, Seattle Seahawks,WR,79,,
Walter Jones,Walter,Jones, Seattle Seahawks,LT,94,,
Patrick Kerney,Patrick,Kerney, Seattle Seahawks,LE,93,,
Lofa Tatupu,Lofa,Tatupu, Seattle Seahawks,MLB,90,,
Aaron Curry,Aaron,Curry, St. Louis Rams,LOLB,84,,
Marc Bulger,Marc,Bulger, St. Louis Rams,QB,78,,
Steven Jackson,Steven,Jackson, St. Louis Rams,RB,92,,
Chris Long,Chris,Long, St. Louis Rams,RE,82,,
Will Witherspoon,Will,Witherspoon, St. Louis Rams,LOLB,86,,
James Laurinaitis,James,Laurinaitis, Tampa Bay Buccaneers,MLB,77,,
Josh Freeman,Josh,Freeman, Tampa Bay Buccaneers,QB,73,,
Derrick Ward,Derrick,Ward, Tampa Bay Buccaneers,RB,84,,
Ernest Graham,Ernest,Graham, Tampa Bay Buccaneers,RB,79,,
Carnell Williams,Carnell,Williams, Tampa Bay Buccaneers,RB,72,,
Kellen Winslow,Kellen,Winslow, Tampa Bay Buccaneers,TE,90,,
Gaines Adams,Gaines,Adams, Tampa Bay Buccaneers,RE,78,,
Barrett Ruud,Barrett,Ruud, Tampa Bay Buccaneers,MLB,87,,
Ronde Barber,Ronde,Barber, Tampa Bay Buccaneers,CB,88,,
Aqib Talib,Aqib,Talib, Tennessee Titans,CB,84,,
Kerry Collins,Kerry,Collins, Tennessee Titans,QB,79,,
Vince Young,Vince,Young, Tennessee Titans,QB,68,,
Chris Johnson,Chris,Johnson, Tennessee Titans,RB,88,,
LenDale White,LenDale,White, Tennessee Titans,RB,79,,
Alge Crumpler,Alge,Crumpler, Tennessee Titans,TE,77,,
Justin Gage,Justin,Gage, Tennessee Titans,WR,77,,
Kyle Vanden Bosch,Kyle,Vanden Bosch, Tennessee Titans,RE,87,,
Jevon Kearse,Jevon,Kearse, Tennessee Titans,LE,75,,
Keith Bulluck,Keith,Bulluck, Tennessee Titans,ROLB,95,,
Michael Griffin,Michael,Griffin, Tennessee Titans,FS,95,,
Cortland Finnegan,Cortland,Finnegan, Washington Redskins,CB,92,,
Jason Campbell,Jason,Campbell, Washington Redskins,QB,77,,
Clinton Portis,Clinton,Portis, Washington Redskins,RB,93,,
Ladell Betts,Ladell,Betts, Washington Redskins,RB,72,,
Chris Cooley,Chris,Cooley, Washington Redskins,TE,91,,
Santana Moss,Santana,Moss, Washington Redskins,WR,86,,
Antwaan Randle El,Antwaan,Randle El, Washington Redskins,WR,75,,
Devin Thomas,Devin,Thomas, Washington Redskins,WR,66,,
Albert Haynesworth,Albert,Haynesworth, Washington Redskins,DT,99,,
Cornelius Griffin,Cornelius,Griffin, Washington Redskins,DT,84,,
London Fletcher-Baker,London,Fletcher-Baker, Washington Redskins,MLB,89,,
Rocky McIntosh,Rocky,McIntosh, Washington Redskins,ROLB,77,,
Brian Orakpo,Brian,Orakpo, Washington Redskins,LOLB,76,,
LaRon Landry,LaRon,Landry, Washington Redskins,FS,84,,
Chris Horton,Chris,Horton, Washington Redskins,SS,70,,
DeAngelo Hall,DeAngelo,Hall, Washington Redskins,CB,79,,
Fred Smoot,Fred,Smoot, Washington Redskins,CB,69,,
