Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
"Thousand Oaks, CA",34.17142715,-118.91058772974445,20.89,0,45.6,44.4,46.7,48.0,51.5,56.1,59.4,58.0,57.7,53.2,47.9,44.0,65.0,65.3,68.5,71.0,74.9,79.7,84.7,84.6,83.1,77.3,71.3,65.4
"Lake Forest, CA",33.6469261,-117.6859213,14.31,0.0,47.5,47.6,48.7,50.9,55.6,58.7,62.3,63.0,61.2,56.8,51.5,46.8,65.0,65.3,66.6,70.6,72.8,76.4,81.5,82.9,81.0,75.8,69.5,64.2
"Brockton, MA",42.0834335,-71.0183787,51.06,5.54,17.3,19.8,26.6,35.5,44.6,54.3,60.2,59.2,50.9,39.5,31.9,22.8,36.6,39.4,46.7,57.1,67.7,76.7,82.1,80.6,73.0,62.1,52.1,41.4
"Charlton, MA",42.1348444,-71.9643153,51.07,4.73,12.0,14.9,23.2,33.9,44.4,54.3,59.5,57.9,49.2,37.1,29.6,19.1,33.6,36.9,45.1,57.1,68.4,76.5,81.3,80.1,72.6,61.3,50.5,38.3
"Winchester, MA",42.4523178,-71.1369982,48.82,7.48,16.9,19.7,26.6,36.1,45.8,55.8,61.6,60.3,52.0,40.4,32.2,22.9,35.0,38.5,46.5,58.1,68.5,76.6,81.7,80.2,72.3,61.5,51.3,40.1
"Lynnfield, MA",42.5389836,-71.0481084,47.94,4.08,17.5,21.0,26.7,36.3,45.8,55.8,60.1,59.1,52.2,41.4,32.8,23.5,33.7,36.6,43.9,54.9,65.9,75.5,80.7,79.7,71.8,58.8,48.7,38.5
"Cambridge, MA",42.3750997,-71.1056157,49.69,5.54,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38.0,28.2,35.8,38.7,45.4,55.6,66.0,75.9,81.4,79.6,72.4,61.4,51.5,41.2
"Lynnwood, WA",47.8278656,-122.3053932,38.44,0.04,37.0,37.2,39.6,42.5,47.2,51.4,54.6,55.1,52.0,45.2,40.4,35.5,45.8,48.4,52.0,55.9,61.7,66.2,70.8,72.4,67.0,57.8,49.3,43.7
"Valencia, CA",34.413819,-118.5610378,17.6,0,44.0,43.7,46.3,49.1,52.8,56.8,62.0,64.1,61.8,55.0,48.3,44.3,62.7,64.7,69.0,73.6,80.2,86.0,93.8,95.0,89.7,79.6,69.7,61.8
"Nassau, NP",45.0663534,-96.4397751,23.09,4.52,2.4,8.0,19.8,33.6,46.7,57.2,61.2,58.0,48.3,35.4,21.9,7.3,23.3,28.2,39.8,57.3,70.2,79.2,83.8,81.2,72.8,59.2,41.2,26.4
"Amarillo, TX",35.2072185,-101.8338246,21.14,1.15,23.4,26.4,33.3,41.6,51.8,61.0,65.2,64.2,56.4,44.7,32.5,24.0,50.6,54.2,62.5,71.1,79.5,87.7,91.4,89.4,82.6,71.9,60.0,49.7
"Fullerton, CA",33.8708215,-117.9294165,13.43,0.0,44.6,47.6,50.1,52.4,57.7,61.1,64.5,65.3,63.2,57.3,49.7,44.8,67.8,68.1,69.8,72.8,75.0,78.4,83.2,85.4,83.8,78.5,72.3,67.4
"Panama City, FL",30.1600827,-85.6545729,61.08,0,43.9,46.9,52.7,58.3,66.6,73.1,75.5,75.0,71.1,61.8,52.3,45.5,62.2,65.6,71.3,77.1,84.3,88.8,90.6,90.3,87.9,80.9,72.0,64.7
"Champaign, IL",40.1164205,-88.2433829,41.02,2.32,15.9,20.5,30.0,39.8,50.6,59.8,62.8,60.5,51.9,41.1,32.1,21.2,32.7,37.6,50.4,63.2,73.2,82.3,84.0,82.4,77.3,65.1,50.5,37.1
"Orange, TX",30.1228634,-93.9041169,61.69,0,41.7,44.7,51.3,58.1,67.2,73.3,74.8,74.1,69.1,60.1,50.9,42.4,61.5,64.4,71.2,78.0,84.7,89.9,92.0,92.8,88.1,80.6,71.6,62.9
"Sandusky, OH",41.2951563,-83.1555438,34.43,2.57,21.3,23.4,30.6,41.4,52.7,62.9,67.0,65.6,57.9,46.8,37.1,26.2,33.0,35.8,44.1,56.7,67.2,77.3,81.6,79.8,73.4,61.8,49.6,37.1
"Novato, CA",38.1061979,-122.5681191,47.98,0.0,41.8,43.8,45.3,47.3,50.1,53.4,54.9,55.2,54.2,51.0,45.9,41.8,54.0,58.8,62.9,66.5,70.7,75.8,79.6,79.7,78.7,72.7,62.4,54.3
"Laplace, LA",40.764459849999994,-73.97449410382455,46.13,2.52,26.9,28.9,35.2,44.8,54.0,63.6,68.8,67.8,60.8,50.0,41.6,32.0,38.3,41.6,49.7,61.2,70.8,79.3,84.1,82.6,75.2,63.8,53.8,43.0
"Huntington Beach, CA",33.6783336,-118.0000166,10.62,0.0,47.0,48.6,51.5,53.9,58.3,61.0,64.4,65.3,63.8,58.7,52.1,46.2,66.5,66.3,67.3,69.0,71.7,73.6,77.9,80.0,79.3,75.2,71.0,65.9
"San Diego, CA",32.7174209,-117.1627714,10.34,0.0,49.0,50.7,53.2,55.9,59.4,62.0,65.4,66.7,65.2,60.6,53.6,48.4,65.1,65.0,65.6,67.5,68.5,70.8,74.6,76.4,75.9,72.8,69.0,64.7
"Moorpark, CA",34.285558,-118.8820414,18.63,0,45.6,44.4,46.7,48.0,51.5,56.1,59.4,58.0,57.7,53.2,47.9,44.0,65.0,65.3,68.5,71.0,74.9,79.7,84.7,84.6,83.1,77.3,71.3,65.4
"Eloy, AZ",32.7557002,-111.5550419,9.83,0.0,36.2,39.7,43.9,49.9,57.8,66.5,74.3,73.7,66.8,54.4,42.5,35.2,69.3,72.2,78.6,87.1,96.0,104.6,105.7,103.4,99.6,89.9,77.4,68.2
"Cedar Creek, TX",31.3205971,-94.7540977,57.98,0.01,34.6,37.7,44.3,51.8,61.1,67.8,70.2,69.3,63.2,52.3,43.9,35.7,58.1,63.0,69.1,76.8,83.2,88.4,92.1,93.3,87.7,78.7,68.6,59.9
"Colleyville, TX",32.8809603,-97.155012,37.8,0.1,33.7,37.5,45.4,53.1,62.7,70.3,73.9,73.7,66.0,54.6,44.8,35.3,54.9,59.0,66.3,74.7,82.0,89.5,94.3,95.1,87.5,77.5,65.8,56.1
"Mesquite, TX",32.7666103,-96.599472,37.28,0.25,35.1,38.3,46.2,54.8,65.6,72.6,76.1,76.3,67.8,55.6,45.7,36.4,54.7,59.1,66.1,73.9,81.6,89.2,94.1,94.4,86.6,76.5,65.0,56.3
"Hoschton, GA",34.096496,-83.7612839,53.16,0.11,30.7,33.2,38.7,45.9,54.5,64.0,67.4,67.1,60.4,49.5,40.1,32.7,53.5,57.6,65.7,73.7,80.8,87.8,90.4,89.5,83.1,74.0,65.1,54.9
"Belton, SC",34.5228881,-82.4942948,48.59,0.02,31.1,34.6,40.2,48.7,58.3,66.6,70.4,69.7,62.6,50.8,41.2,33.3,53.2,57.4,65.2,73.4,80.8,88.2,90.9,89.8,83.4,73.8,64.5,54.8
"Ewa Beach, HI",21.315603,-158.008804,17.82,0.0,63.2,62.9,64.6,66.1,67.4,69.9,71.3,71.7,70.6,69.9,68.1,65.5,80.1,80.2,81.0,82.5,83.9,86.2,87.1,87.9,87.9,86.3,83.8,81.3
"Shreveport, LA",32.5221828,-93.7651944,52.19,0.18,33.9,37.5,45.1,52.8,62.2,69.8,73.1,71.9,64.1,52.7,44.3,35.9,55.3,59.6,67.9,75.6,82.6,89.0,92.6,93.6,87.3,76.9,66.0,56.5
"Brusly, LA",30.3943588,-91.2537199,64.8,0,38.6,41.8,48.0,54.5,63.0,69.3,71.3,70.8,65.6,55.0,46.4,40.0,60.9,64.7,71.9,78.5,84.9,89.4,91.3,91.6,88.0,79.8,71.3,63.5
"Jackson, MS",32.2990384,-90.1847691,54.14,0.09,36.8,40.2,46.8,53.8,62.8,69.4,72.3,71.9,66.1,55.1,45.1,39.0,56.4,61.0,68.4,75.9,82.9,89.2,91.5,91.5,86.6,77.2,67.5,58.4
"High Point, NC",35.9556924,-80.0053176,45.1,0.23,30.3,33.1,39.4,47.8,56.2,65.0,68.4,67.5,60.6,49.1,40.5,32.5,51.2,55.7,64.1,73.6,80.2,87.0,89.7,88.4,82.3,73.0,63.1,53.1
"Pelahatchie, MS",32.3132159,-89.7989402,58.94,0.05,35.3,37.9,44.6,51.5,60.1,66.8,69.8,69.3,63.0,51.3,43.5,36.4,58.9,63.3,70.8,77.9,84.4,89.5,92.5,92.3,88.1,79.6,70.0,60.6
"Lafayette, LA",30.2240897,-92.0198427,60.5,0,29.5,33.1,39.2,45.9,55.1,63.2,66.9,66.6,59.7,48.4,39.0,31.6,55.5,59.9,67.9,75.4,82.2,87.9,90.7,89.6,84.7,75.6,66.4,57.1
"Long Beach, CA",33.7690164,-118.1916048,14.45,0.0,46.1,48.0,50.5,53.2,57.6,61.0,64.5,64.9,63.2,58.3,50.8,45.8,67.4,67.2,68.6,71.7,73.6,76.7,81.9,83.8,82.1,77.2,72.1,66.8
"Scottsdale, AZ",33.4942189,-111.9260184,9.49,0,39.0,41.7,45.7,51.8,60.2,67.7,75.3,74.8,68.2,56.4,44.7,37.6,69.4,72.6,78.3,85.8,94.6,102.7,104.8,103.3,99.5,89.3,77.6,68.2
"Oklahoma City, OK",35.4729886,-97.5170536,34.91,0.51,26.7,30.3,38.3,47.5,58.3,66.4,70.2,69.4,61.0,48.9,38.6,27.3,49.7,55.0,63.1,72.3,80.0,87.5,92.9,93.9,84.8,74.2,61.7,51.6
"Cary, IL",42.2119684,-88.2381381,38.17,4.27,11.9,16.1,26.1,37.0,47.0,56.3,61.1,59.7,51.2,38.6,29.6,17.1,28.3,33.0,44.2,57.3,68.4,78.2,81.7,80.4,73.3,60.8,46.4,32.2
"Bellefontaine, OH",40.3611643,-83.7596557,39.82,1.77,17.3,19.9,28.5,39.2,49.8,59.4,62.7,61.4,53.8,42.1,32.8,22.1,33.1,37.3,47.6,60.5,70.7,79.4,82.7,81.5,75.5,63.4,50.4,37.3
"Bellflower, CA",33.8825705,-118.1167679,22.97,0,48.1,48.4,50.7,53.4,57.4,60.9,64.6,64.9,63.0,58.2,52.1,47.2,71.0,71.0,72.8,75.5,78.4,81.4,86.6,88.7,86.9,81.7,75.7,70.2
"Missouri City, TX",29.6185669,-95.5377215,51.82,0.0,44.1,47.4,53.4,60.8,69.4,74.6,76.6,76.5,71.4,62.5,53.6,45.3,64.8,67.5,74.0,81.4,87.8,92.5,94.9,95.8,91.4,83.6,74.6,66.6
"Hobbs, NM",32.707667,-103.1311314,16.72,0.69,29.9,33.0,38.7,47.0,56.0,63.8,67.1,66.5,59.6,49.4,37.7,29.4,57.3,62.1,70.0,79.4,87.6,94.4,94.7,92.8,86.3,77.8,66.2,57.4
"West Covina, CA",34.0686208,-117.9389526,5.98,0.0,43.5,46.7,51.7,58.0,66.7,75.1,82.0,81.6,74.9,62.5,50.2,41.9,67.8,72.2,78.5,86.1,94.9,103.9,107.7,106.6,101.0,89.4,76.3,66.2
"Grand Rapids, MI",42.9632405,-85.6678639,33.93,4.99,18.1,19.9,26.9,37.7,47.8,57.7,62.2,61.0,52.7,41.8,33.0,23.5,30.7,33.7,44.4,58.2,69.5,79.0,82.8,80.6,73.0,60.3,47.3,34.8
"Pensacola, FL",30.421309,-87.2169149,65.27,0,42.2,45.5,51.2,57.6,66.0,72.5,74.5,74.2,70.3,60.3,51.2,44.4,60.5,63.8,69.6,75.7,83.2,88.5,89.9,89.4,86.5,78.9,70.3,62.6
"Middleton, WI",43.0962919,-89.5119565,37.27,3.49,10.7,14.8,25.6,37.7,48.8,58.5,63.1,61.2,52.3,40.0,28.3,15.5,26.9,31.4,42.9,56.9,67.9,78.1,82.0,79.8,71.9,59.7,44.8,31.0
"Memphis, TN",35.1490215,-90.0516285,53.4,0.17,29.9,33.4,43.0,52.1,61.3,68.9,72.6,71.2,62.4,51.3,42.1,32.7,47.8,52.8,62.0,71.9,79.9,87.0,90.4,90.0,83.5,73.2,61.4,50.4
"Melbourne, VIC       ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",29.9499323,-90.0701156,68.9,0.01,38.9,41.7,47.1,54.1,62.9,69.5,71.8,71.7,67.2,56.8,47.4,41.3,59.5,62.9,68.8,75.1,81.6,86.2,88.4,88.3,85.1,77.9,69.6,61.8
"Puckett, MS",32.0809867,-89.7759086,58.55,0.04,32.7,35.7,42.6,49.2,58.9,66.1,69.2,68.4,61.8,49.7,41.0,34.3,56.9,61.2,68.8,75.9,82.9,88.8,91.1,91.1,86.6,77.7,68.2,59.1
"Huntersville, NC",35.410845,-80.8429094,45.28,0.23,28.5,31.2,38.2,46.3,55.6,65.0,69.0,67.9,60.3,48.0,38.5,30.9,51.6,55.9,64.0,73.3,80.4,87.8,90.8,89.3,83.0,73.4,64.1,54.2
"San Juan, TX",26.1892409,-98.1552872,24.07,0.03,49.3,52.6,58.2,64.8,71.2,75.3,76.2,76.5,72.7,65.8,57.4,49.9,70.2,74.2,80.5,85.7,90.3,94.8,96.2,97.2,92.6,87.4,79.2,71.1
"Dothan, AL",31.2237434,-85.3933906,122.63,0.0,10.8,12.6,20.2,33.3,43.4,53.0,57.2,54.9,47.8,38.1,29.6,18.4,27.0,30.1,38.9,52.9,66.0,73.5,78.9,77.2,70.0,56.9,43.6,32.3
"Tulare, CA",36.2516475,-118.852583,14.68,0.06,37.1,39.7,43.1,46.3,52.3,58.2,63.5,61.4,56.3,48.4,40.8,35.7,58.1,64.3,70.4,76.8,84.9,91.9,97.2,96.3,91.3,80.4,66.9,57.9
"Fresno, CA",36.7295295,-119.70886126075588,26.25,0.06,37.9,41.8,45.2,48.6,55.2,61.1,66.2,65.4,60.9,52.7,43.4,38.0,55.7,63.0,68.4,74.9,83.6,91.6,96.5,96.5,90.8,79.9,66.4,56.5
"Tampa, FL",27.9477595,-82.458444,52.84,0.0,51.6,54.4,58.2,63.0,69.7,74.8,75.9,76.2,74.5,68.0,60.3,54.2,69.9,72.5,76.3,81.0,87.2,89.6,90.1,90.2,88.9,84.3,78.0,72.0
"Nashville, TN",36.1622296,-86.7743531,47.85,0.46,28.4,31.6,39.0,47.5,56.8,65.4,69.5,68.4,60.7,48.9,39.4,31.3,46.9,51.8,61.0,70.5,78.2,86.0,89.3,89.0,82.4,71.7,60.3,49.5
"League City, TX",29.5074538,-95.0949303,53.5,0.0,43.4,47.0,52.6,58.6,67.0,72.2,73.4,73.4,69.0,59.8,51.8,44.7,61.9,65.3,71.0,76.9,83.2,88.2,90.7,90.7,86.9,79.8,71.6,64.0
"West Valley City, UT",40.696629,-111.9867271,18.57,2.1,21.6,25.2,33.6,39.5,47.8,56.4,64.7,63.4,53.0,41.3,30.6,22.6,37.4,43.2,53.7,61.6,71.9,83.0,92.6,90.5,79.2,64.7,49.4,38.0
"Portland, OR",45.5202471,-122.6741949,42.85,0.18,37.2,40.0,43.3,46.5,53.5,60.0,63.0,60.6,57.0,50.3,42.3,36.9,55.2,61.0,66.5,72.7,81.0,88.6,94.0,92.9,89.1,78.6,64.1,55.2
"Saint Charles, IL",38.7877791,-90.6747372,41.3,1.12,15.5,19.4,28.1,37.7,47.8,58.5,62.7,61.4,52.9,41.7,31.4,19.1,31.4,36.3,48.0,60.9,71.2,81.0,85.1,82.5,75.6,63.2,49.1,35.2
"Whitewater, WI",42.8336422,-88.7292679,34.48,3.49,10.5,14.6,24.6,35.7,46.0,56.0,60.3,58.2,49.6,38.5,28.3,15.7,27.3,31.7,43.4,57.2,68.7,78.6,82.2,80.3,73.2,60.6,45.7,31.4
"Sumter, SC",33.8998826,-80.3237032,51.07,0.04,32.3,34.9,40.8,48.7,57.1,65.7,69.6,68.3,62.2,50.6,41.0,34.1,54.6,58.5,66.3,74.7,81.7,87.8,90.5,88.8,83.6,74.4,66.2,56.8
"Lubbock, TX",33.5635206,-101.879336,21.09,0.88,26.4,30.1,37.0,45.7,55.9,64.2,67.7,66.6,58.8,47.9,35.9,27.1,54.1,58.9,66.7,75.4,83.8,90.6,92.8,91.3,84.5,75.2,63.6,54.1
"Mansfield, TX",32.5631924,-97.1416768,42.57,0.23,28.7,32.5,40.1,49.1,59.6,67.1,71.0,70.2,62.3,51.2,40.2,30.5,52.7,57.0,64.8,73.5,80.3,87.7,93.0,94.3,86.1,75.5,64.1,53.8
"Geneva, IL",31.0862933,-85.803014,54.31,0.0,35.3,38.6,44.7,50.9,59.9,67.5,70.0,69.8,64.6,53.4,44.3,37.8,61.1,65.2,72.3,78.4,85.7,90.3,91.9,91.1,87.7,79.9,71.4,63.0
"Winter Haven, FL",28.0222435,-81.7328568,51.12,0.0,51.3,53.8,57.5,61.7,67.9,72.5,74.0,74.6,73.2,67.4,59.7,53.8,73.1,75.5,79.0,83.9,89.2,91.6,92.3,92.5,90.2,85.6,79.2,74.2
"Hollister, CA",36.8524545,-121.4016021,14.19,0.0,38.2,41.1,42.4,44.3,47.7,50.9,53.0,53.6,52.2,47.4,41.7,37.7,60.1,62.8,66.1,70.3,74.5,79.1,81.0,82.0,81.4,77.0,67.1,59.9
"Pascagoula, MS",30.3646795,-88.5585995,63.33,0.02,38.8,41.8,48.3,54.6,63.3,69.9,72.6,72.1,67.5,56.6,47.4,41.0,60.0,62.9,68.5,74.9,81.7,86.7,89.0,89.0,86.0,78.6,70.2,62.5
"Vicksburg, MS",32.3528418,-90.8777342,56.3,0.05,33.5,37.1,44.4,51.8,60.8,67.9,71.2,70.3,64.7,53.6,44.4,36.8,57.3,61.7,69.2,76.7,83.2,89.3,91.4,91.3,87.0,78.1,68.3,58.2
"Greenville, MS",33.4000633,-91.0551312,52.55,0.19,33.6,37.4,44.4,52.7,62.0,69.6,72.6,71.2,63.8,52.4,43.2,35.4,52.4,56.3,65.1,74.3,82.7,88.9,91.6,91.3,86.3,76.3,64.7,54.6
"Forest, MS",32.3645888,-89.4742348,54.69,0.08,32.5,35.9,42.2,50.4,58.9,65.8,69.0,68.6,62.2,51.0,42.0,35.1,56.8,61.2,68.8,76.0,82.7,88.8,91.2,91.2,86.6,77.6,68.3,58.9
"Harvest, AL",34.857193249999995,-86.74907012252524,57.93,0.04,30.2,34.0,40.2,48.2,57.7,65.6,69.5,68.4,61.3,49.4,40.4,32.9,50.2,55.0,63.9,72.6,79.9,86.7,89.4,89.9,84.6,73.8,63.0,52.9
"Ibadan, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue Ridge, GA",34.863972,-84.324087,58.29,0.31,25.7,27.9,33.7,39.8,48.8,58.0,62.8,62.2,54.3,42.2,34.4,27.7,49.9,53.5,61.4,70.5,77.7,84.2,87.6,86.9,80.6,72.3,61.7,52.4
"Jamesville, NY",42.9920106,-76.0715887,43.01,10.66,16.8,17.7,25.7,36.7,47.5,57.8,62.7,61.0,53.9,43.0,34.0,23.2,31.7,34.5,42.4,57.0,68.5,77.5,81.6,80.5,72.6,60.3,49.0,37.2
"Cornelius, NC",35.4817982,-80.8589501,45.28,0.23,28.5,31.2,38.2,46.3,55.6,65.0,69.0,67.9,60.3,48.0,38.5,30.9,51.6,55.9,64.0,73.3,80.4,87.8,90.8,89.3,83.0,73.4,64.1,54.2
"Opelika, AL",32.728672,-85.39225332935811,54.73,0.07,32.0,35.1,40.8,46.9,56.7,64.5,68.5,68.0,61.7,50.2,40.8,34.2,55.0,59.0,67.0,74.3,81.4,87.3,89.9,89.1,84.3,75.2,66.7,57.4
"Oneonta, AL",33.9481537,-86.472764,55.41,0.14,30.1,33.0,39.8,47.2,56.0,64.3,68.3,67.7,60.5,48.3,39.7,32.3,52.5,56.9,65.6,73.2,81.0,87.2,90.3,90.2,84.7,74.9,64.9,55.0
"Salt Lake City, UT",40.7596198,-111.8867975,28.1,5.87,26.5,31.0,37.8,42.8,51.7,61.2,68.6,66.9,57.6,46.1,35.8,27.4,38.4,43.7,53.5,61.4,71.4,82.4,90.3,88.5,78.3,65.0,50.3,39.9
"Rockwall, TX",32.8923464,-96.4066987,46.94,0.31,29.6,33.2,41.4,48.2,59.1,67.1,70.8,69.8,61.6,50.0,40.4,30.8,53.3,57.4,65.5,74.0,80.7,88.4,93.4,94.3,86.5,76.7,65.0,54.5
"Baton Rouge, LA",30.4459596,-91.18738,61.77,0.02,37.2,40.6,47.1,53.3,61.7,68.1,70.5,70.4,65.2,54.3,46.1,39.0,60.6,64.6,72.0,78.5,85.5,90.5,92.0,92.3,88.9,80.8,71.4,62.7
