,College,Geographic Location,county,state,poverty_pct,med_income
154,Oklahoma St.,"Stillwater, OK",,,,"$48,010"
155,Oklahoma State,"Stillwater, OK",,,,"$48,010"
156,Old Dominion,"Norfolk, VA",,,,"$48,010"
157,Oregon,"Eugene, OR", Lane County, OR,18.1,"$48,010"
158,Oregon St.,"Corvallis, OR", Benton County, OR,9.8,"$48,010"
159,Oregon State,"Corvallis, OR", Benton County, OR,9.8,"$48,010"
160,Penn St.,"State College, PA", Centre County, PA,18.1,"$48,010"
161,Penn State,"University Park, PA", Lafayette County, PA,11.3,"$48,010"
162,Pittsburgh,"Pittsburgh, PA", Allegheny County, PA,11.7,"$48,010"
163,Portland State,"Portland, OR", Multnomah County, OR,12.0,"$48,010"
164,Purdue,"West Lafayette, IN", Tippecanoe County, IN,18.1,"$48,010"
165,Rice,"Houston, TX", Harris County, TX,16.5,"$48,010"
166,Richmond,"Richmond, VA",,,,"$48,010"
167,Rutgers,"Piscataway, NJ", Middlesex County, NJ,12.7,"$48,010"
168,Sam Houston State,"Huntsville, TX", Walker County, TX,26.1,"$48,010"
169,Samford,"Homewood, AL", Jefferson County, AL,8.1,"$48,010"
170,San Diego,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
171,San Diego St.,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
172,San Diego State,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
173,San Jose St,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
174,San Jose St.,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
175,San Jose State,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
176,Savannah State,"Savannah, GA", Chatham County, GA,9.3,"$48,010"
177,Shepherd,"Shepherdstown, WV", Jefferson County, WV,8.1,"$48,010"
178,SMU,"Dallas, TX", Dallas County, TX,14.2,"$48,010"
179,South Alabama,"Mobile, AL", Dearborn County, AL,9.4,"$48,010"
180,South Carolina,"Columbia, SC", Richland County, SC,14.3,"$48,010"
181,South Carolina State,"Orangeburg, SC", Orangeburg County, SC,25.9,"$48,010"
182,South Dakota St.,"Brookings, SD",Brookings County, SD,11.8,"$48,010"
183,South Florida,"Tampa, FL", Hillsborough County, FL,7.4,"$48,010"
184,Southeastern Louisiana,"Hammond, LA", Lake County, LA,36.5,"$48,010"
185,Southern,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$48,010"
186,Southern California,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
187,Southern Illinois,"Carbondale, IL", Jackson County, IL,12.0,"$48,010"
188,Southern Methodist,"Dallas, TX", Dallas County, TX,14.2,"$48,010"
189,Southern Miss,"Hattiesburg, MS", Forrest County, MS,24.0,"$48,010"
190,Southern Oregon,"Ashland, OR", Jackson County, OR,12.0,"$48,010"
191,Southern Utah,"Cedar City, UT", Iron County, UT,13.2,"$48,010"
192,Stanford,"Stanford, CA", Santa Clara County, CA,7.3,"$48,010"
193,Stillman,"Tuscaloosa, AL", Jefferson County, AL,8.1,"$48,010"
194,Syracuse,"Syracuse, NY", Onondaga County, NY,13.7,"$48,010"
195,TCU,"Fort Worth, TX", Tarrant County, TX,12.1,"$48,010"
196,Temple,"Philadelphia, PA", Philadelphia County, PA,24.3,"$48,010"
197,Tennessee,"Knoxville, TN", Knox County, TN,20.4,"$48,010"
198,Tennessee State,"Nashville, TN", Davidson County, TN,15.4,"$48,010"
199,Tennessee Tech,"Cookeville, TN", Putnam County, TN,10.0,"$48,010"
200,Tennessee-Martin,"Martin, TN", Weakley County, TN,19.7,"$48,010"
201,Texas,"Austin, TX", Travis County, TX,12.0,"$48,010"
202,Texas A&M,"College Station, TX", Brazos County, TX,23.2,"$48,010"
203,Texas A&M-Commerce,"Commerce, TX", Hunt County, TX,13.6,"$48,010"
204,Texas Christian,"Fort Worth, TX", Tarrant County, TX,12.1,"$48,010"
205,Texas College,"Tyler, TX", Smith County, TX,15.0,"$48,010"
206,Texas St.,"San Marcos, TX", Hays County, TX,13.2,"$48,010"
207,Texas State,"San Marcos, TX", Hays County, TX,13.2,"$48,010"
208,Texas Tech,"Lubbock, TX", Lubbock County, TX,17.6,"$48,010"
209,Texas-El Paso,"El Paso, TX", El Paso County, TX,20.5,"$48,010"
210,Texas-San Antonio,"San Antonio, TX", Bexar County, TX,17.2,"$48,010"
211,Toledo,"Toledo, OH", Lucas County, OH,18.7,"$48,010"
212,Towson,"Towson, MD", Baltimore County, MD,9.9,"$48,010"
213,Troy,"Troy, AL", San Francisco City and County, AL,,"$48,010"
214,Tulane,"New Orleans, LA", Orleans Parish, LA,23.8,"$48,010"
215,Tulsa,"Tulsa, OK", Tulsa County, OK,14.1,"$48,010"
216,UC Davis,"Davis, CA", Yolo County, CA,20.1,"$48,010"
217,UCLA,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
218,UNLV,"Las Vegas, NV", Clark County, NV,11.9,"$48,010"
219,USC,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
220,Utah,"Salt Lake City, UT", Salt Lake County, UT,9.0,"$48,010"
221,Utah St.,"Logan, UT", Cache County, UT,12.9,"$48,010"
222,Utah State,"Logan, UT", Cache County, UT,12.9,"$48,010"
223,Vanderbilt,"Nashville, TN", Davidson County, TN,15.4,"$48,010"
224,Villanova,"Villanova, PA", Delaware County, PA,8.8,"$48,010"
225,Virginia,"Charlottesville, VA",,,,"$48,010"
226,Virginia Tech,"Blacksburg, VA", Montgomery County, VA,24.1,"$48,010"
227,Wake Forest,"Winston-Salem, NC", Forsyth County, NC,16.4,"$48,010"
228,Washington,"Seattle, WA", King County, WA,9.2,"$48,010"
229,Washington St.,"Pullman, WA", Whitman County, WA,25.4,"$48,010"
230,Washington State,"Pullman, WA", Whitman County, WA,25.4,"$48,010"
231,Wayne State (MI),"Detroit, MI", Wayne County, MI,20.9,"$48,010"
232,Weber State,"Ogden, UT", Weber County, UT,9.4,"$48,010"
233,West Georgia,"Carrollton, GA", Carroll County, GA,15.7,"$48,010"
234,West Liberty,"West Liberty, WV", Ohio County, WV,12.5,"$48,010"
235,West Texas A&M,"Canyon, TX", Randall County, TX,8.5,"$48,010"
236,West Virginia,"Morgantown, WV", Monongalia County, WV,18.3,"$48,010"
237,Western Carolina,"Cullowhee, NC", Jackson County, NC,12.0,"$48,010"
238,Western Kentucky,"Bowling Green, KY", Warren County, KY,10.3,"$48,010"
239,Western Michigan,"Kalamazoo, MI", Kalamazoo County, MI,14.4,"$48,010"
240,Wisconsin,"Madison, WI", Dane County, WI,10.8,"$48,010"
241,Wyoming,"Laramie, WY", Livingston County, WY,12.5,"$48,010"
242,Yale,"New Haven, CT", Prince George's County, CT,8.3,"$48,010"
243,Youngstown State,"Youngstown, OH", Mahoning County, OH,16.5,"$48,010"
