Last Name,First Name,Team,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run
Stuckey,Darrell,Chargers,FS,71,87,87,51,88,67,68,55,25,25,20,20,45,45,68,90,65,75,93,80,40,69,60,45,40,66,66,45,45,45,45,42,45,60,74,67,65,81,60,55,58,64,64,50,15,10,10,15,15
Davis,Knile,Steelers,HB,71,92,93,79,86,61,64,77,42,35,25,25,45,55,39,83,87,75,87,78,83,68,80,77,70,80,54,54,49,58,53,10,10,29,45,20,12,15,68,70,52,25,15,64,39,35,20,20,35
Goodson,Demetri,Packers,CB,68,91,89,50,94,59,68,65,22,25,25,25,45,45,46,88,45,75,90,73,25,80,81,26,75,85,45,45,45,45,45,25,32,36,65,59,81,72,65,56,25,56,65,15,6,6,6,6,6
McDougle,Dexter,Jets,CB,67,91,90,55,88,57,69,65,25,25,10,11,45,45,53,88,45,75,90,74,31,65,66,35,70,72,50,45,45,45,45,28,37,35,69,57,81,69,52,54,20,73,66,12,6,6,6,6,6
Wolff IV,Earl,Redskins,SS,66,89,92,67,80,60,63,65,26,22,23,19,45,45,72,90,35,75,88,87,55,44,61,57,60,62,55,45,45,45,45,63,49,63,75,60,67,70,54,51,15,73,71,15,6,6,6,6,6
Telfer,Randall,Browns,TE,65,78,84,72,81,58,66,67,33,32,18,16,57,71,40,79,10,75,83,82,67,62,68,64,70,72,68,73,72,62,62,10,10,42,40,15,15,13,79,75,50,25,25,80,15,10,6,6,10
Anderson,Dres,Texans,WR,62,88,89,65,88,62,80,69,35,33,20,22,40,25,25,87,69,75,87,72,33,84,85,35,73,84,44,35,34,33,31,10,10,28,35,21,15,26,75,63,67,12,10,44,35,35,30,20,30
Powell,Ronald,Seahawks,LOLB,62,84,88,73,82,51,60,62,34,30,28,28,45,45,78,85,10,75,84,69,55,35,39,54,45,49,73,45,45,45,45,84,65,67,67,51,55,60,25,26,10,79,45,12,6,6,6,6,6
Wynn,Shane,Jaguars,WR,57,94,94,53,91,52,70,60,25,21,19,15,30,25,17,86,78,75,88,55,23,88,84,25,94,89,43,24,22,20,20,10,10,26,29,25,11,25,65,63,52,12,10,48,35,30,20,15,15
Colvin,Aaron,Jaguars,CB,78,89,90,57,89,81,52,61,35,35,20,20,45,45,62,86,45,76,87,76,24,70,69,30,64,71,48,45,45,45,45,36,45,42,78,81,75,82,34,32,30,55,75,30,6,6,6,6,6
Perriman,Breshad,Ravens,WR,74,95,92,70,89,68,78,69,36,32,24,21,62,33,29,87,60,76,85,74,65,82,78,64,83,89,53,55,54,33,32,15,20,40,35,15,15,20,88,74,70,15,20,80,20,20,15,10,10
Spence,Sean,Colts,MLB,73,83,90,63,86,79,52,45,20,25,37,30,45,45,78,84,10,76,87,88,25,11,28,40,24,40,79,45,45,45,45,53,65,72,78,79,66,72,25,15,15,87,55,35,6,6,6,6,6
Ellington,Andre,Cardinals,WR,72,90,90,54,93,77,77,84,25,24,15,15,35,39,29,84,76,76,92,82,52,73,84,62,85,91,44,32,33,35,39,10,10,26,35,20,15,15,75,77,74,20,20,63,33,29,20,15,15
Johnson,Cam,Browns,RE,71,79,87,72,77,68,47,37,33,30,22,21,45,45,79,86,10,76,87,80,25,15,22,10,40,26,77,45,45,45,45,81,60,74,78,68,63,72,44,59,39,82,24,60,6,6,6,6,6
Reaser,Keith,49ers,CB,71,90,91,68,85,65,53,64,35,35,20,20,45,45,52,88,45,76,86,68,29,72,64,32,65,66,45,45,45,45,45,32,36,36,72,65,82,70,54,45,25,45,65,33,6,6,6,6,6
Covington,Christian,Texans,RE,70,76,86,78,65,73,44,40,10,11,15,14,45,45,75,80,10,76,80,75,10,14,10,10,10,10,79,45,45,45,45,77,58,77,77,73,16,25,12,10,10,72,10,12,6,6,6,6,6
Jones,Matt,Redskins,HB,69,89,91,72,85,73,63,75,25,24,20,18,52,52,35,79,40,76,82,86,82,71,77,79,72,80,54,55,54,49,47,14,10,24,34,14,10,15,43,46,45,39,10,50,30,25,15,10,10
Thomas,Brandon,Lions,LG,67,68,79,93,55,52,32,40,19,24,17,35,79,73,31,78,10,76,83,69,20,10,10,10,10,10,83,86,82,83,72,10,10,27,29,22,13,18,15,15,15,20,10,15,6,6,6,6,6
Scarlett,Brennan,Texans,LOLB,66,80,88,79,78,58,42,32,27,19,37,16,45,45,72,82,10,76,84,81,35,25,39,42,28,34,72,45,45,45,45,77,62,77,81,58,51,66,28,31,26,76,24,25,12,11,8,6,6
McManis,Sherrick,Bears,CB,65,87,89,60,85,63,55,65,21,20,22,19,45,45,59,93,74,76,94,75,25,65,62,26,55,75,46,45,45,45,45,45,35,48,68,63,65,73,40,55,10,67,65,30,6,6,6,6,6
Nzeocha,Mark,Cowboys,MLB,64,83,86,76,84,65,63,58,25,25,20,20,45,45,81,82,10,76,85,74,44,35,39,37,25,35,76,45,45,45,45,56,65,66,72,65,60,71,40,35,15,69,40,12,6,6,6,6,6
Grant,Curtis,Giants,MLB,60,82,87,76,75,56,58,60,30,30,20,20,45,45,77,85,10,76,85,85,45,30,35,42,40,35,74,45,45,45,45,62,49,81,71,51,52,65,25,29,15,88,54,15,6,6,6,6,6
Winchester,James,Chiefs,TE,43,85,88,67,80,50,60,64,40,40,25,24,47,50,40,88,10,76,74,75,32,35,40,38,39,37,60,55,65,50,60,15,20,39,55,25,15,25,49,47,42,45,25,44,10,10,10,10,10
Gronkowski,Rob,Patriots,TE,98,83,88,85,85,93,95,78,27,22,21,20,73,71,20,84,10,77,92,93,84,56,88,83,71,75,64,81,74,65,64,10,10,43,40,22,12,17,94,96,88,25,25,94,15,10,6,6,10
Brooks,Brandon,Eagles,RG,89,71,83,95,58,90,35,30,9,35,22,20,86,89,40,82,10,77,81,78,30,10,10,10,10,10,83,95,77,83,66,10,10,30,21,10,12,12,12,10,10,25,10,12,6,6,6,6,6
Lewis,Dion,Patriots,HB,82,91,92,61,94,83,73,83,42,14,20,16,35,58,29,79,81,77,89,77,54,90,87,76,91,90,35,30,30,33,29,10,10,20,44,28,11,20,63,65,63,12,10,58,35,30,20,15,41
Claiborne,Morris,Jets,CB,79,90,90,52,92,77,69,62,54,42,10,11,45,45,52,86,67,77,94,78,24,75,74,25,66,83,48,45,45,45,45,29,47,41,72,77,83,78,65,49,37,50,81,25,54,42,38,19,61
Dunbar,Lance,Rams,HB,77,91,90,54,93,74,68,80,25,26,22,25,40,55,37,86,79,77,92,71,54,85,87,57,83,86,45,45,39,40,39,10,10,15,39,23,12,16,68,74,74,12,10,54,35,30,20,15,15
Foster,Reuben,49ers,MLB,76,83,85,84,85,71,66,55,24,25,14,22,45,45,85,81,10,77,88,85,42,32,25,35,34,40,87,45,45,45,45,72,58,77,87,71,69,78,29,23,10,89,52,25,6,6,6,6,6
Casillas,Jonathan,Giants,ROLB,74,86,88,63,84,79,54,65,25,30,20,20,45,45,82,82,15,77,86,65,30,67,25,45,30,40,67,45,45,45,45,50,60,73,79,79,59,70,42,29,15,77,59,15,6,6,6,6,6
Kikaha,Hau'oli,Saints,LOLB,73,75,84,75,82,75,44,54,10,10,25,21,45,55,75,84,10,77,83,78,40,20,25,25,42,32,81,45,45,45,45,78,73,76,82,75,48,58,15,15,15,87,40,12,6,6,6,6,6
Dorsett,Phillip,Colts,WR,73,96,92,65,96,68,83,62,34,32,21,15,64,32,20,89,81,77,88,70,28,82,82,34,90,88,46,35,34,35,30,10,10,28,34,24,18,25,84,82,72,14,10,62,15,10,6,6,10
Carter,Bruce,Jets,MLB,72,85,89,75,84,72,67,60,25,25,20,20,45,45,83,90,10,77,92,62,34,47,42,25,55,60,78,45,45,45,45,65,75,74,85,72,55,63,40,45,15,79,40,25,6,6,6,6,6
Davis,Mike,Seahawks,HB,72,89,92,69,86,60,71,83,25,25,21,20,45,55,29,84,40,77,80,80,82,67,81,77,88,76,45,44,47,56,55,9,10,10,30,11,10,15,50,62,49,17,15,56,30,25,15,10,10
Campanaro,Michael,Ravens,WR,71,90,92,66,88,73,82,69,35,30,25,24,59,32,33,90,89,77,91,86,42,82,77,72,80,84,40,40,35,35,35,10,10,35,10,15,20,21,78,81,63,12,20,62,25,20,15,10,15
Green,Chaz,Cowboys,RT,70,67,80,76,64,69,42,50,30,30,21,21,73,79,51,79,10,77,84,85,28,10,10,15,10,10,76,72,76,82,86,50,35,40,35,25,15,20,25,21,20,39,10,35,6,6,6,6,6
Gettis,Adam,Giants,LG,67,74,84,78,66,61,25,40,30,30,25,25,75,76,35,82,10,77,87,84,10,12,10,10,10,10,75,78,86,70,78,44,35,33,41,21,12,15,12,10,10,55,10,12,6,6,6,6,6
Mitchel,Tevin,Colts,CB,65,91,91,67,90,53,59,63,30,30,15,15,45,45,38,86,50,77,88,69,22,69,55,24,67,72,45,45,45,45,45,24,28,35,52,53,72,79,62,51,20,35,65,25,6,6,6,6,6
Murphy,Marcus,Saints,HB,65,86,88,66,85,52,60,81,25,25,20,14,30,35,19,79,89,77,83,60,37,86,85,46,80,86,30,33,34,39,40,5,5,9,25,15,10,15,75,65,66,15,15,58,29,25,20,10,15
Bell,Blake,49ers,TE,65,79,83,70,82,38,73,81,79,66,17,18,77,73,35,82,10,77,83,78,84,55,82,75,68,63,61,72,67,68,64,10,10,41,40,15,15,25,74,71,45,12,10,69,67,64,62,54,55
Patrick,Tim,Ravens,WR,63,90,91,66,85,50,78,58,36,35,19,15,60,43,35,89,48,77,85,83,56,68,67,64,72,78,58,44,46,35,32,10,10,28,31,22,20,26,74,77,58,27,17,73,20,15,15,6,15
Scott,Rashawn,Dolphins,WR,63,88,90,66,87,48,76,69,38,46,18,13,59,43,27,83,64,77,86,67,41,74,75,76,57,74,52,51,53,50,45,21,27,36,46,23,28,40,83,77,59,33,29,72,31,26,22,30,42
Yarbrough,Eddie,Bills,LE,63,79,87,82,77,47,35,42,22,20,20,19,45,46,77,78,9,77,76,82,33,22,23,27,21,22,80,44,45,46,44,73,68,76,75,47,27,40,17,17,14,76,22,17,6,6,6,6,6
Jones,Jonathan,Patriots,CB,62,95,95,68,85,40,61,60,27,26,18,17,44,43,40,85,60,77,84,73,28,65,60,29,65,68,44,43,44,43,44,35,41,38,58,40,79,71,52,45,26,45,73,27,6,6,6,6,6
Ifedi,Martin,Falcons,RE,60,76,85,72,72,53,39,55,26,19,22,19,49,45,75,80,10,77,87,71,35,15,32,39,25,29,82,45,45,45,45,77,48,79,74,53,30,40,30,21,15,81,10,25,6,6,6,6,6
Trinca-Pasat,Louis,Rams,DT,58,74,84,75,67,58,30,40,36,19,14,15,45,45,71,81,10,77,78,87,25,11,15,10,15,10,81,45,45,45,45,75,41,69,79,58,15,20,20,15,15,59,24,25,6,6,6,6,6
Gates,Antonio,Chargers,TE,87,77,83,63,80,90,89,76,25,25,15,19,70,56,44,89,8,78,87,85,75,69,85,78,81,78,63,55,60,51,55,10,10,53,35,21,10,24,87,83,86,12,10,82,15,10,6,6,10
Woodhead,Danny,Ravens,HB,82,88,93,68,92,83,75,88,25,28,24,22,22,43,26,87,82,78,84,88,45,88,88,54,83,87,30,25,28,25,24,15,25,25,45,25,18,25,74,82,88,15,15,62,35,25,15,10,10
Hall,DeAngelo,Redskins,FS,79,88,87,53,86,83,80,55,27,25,15,14,45,45,68,89,62,78,92,87,10,70,80,30,84,87,56,45,45,45,45,17,30,31,69,83,78,82,65,55,35,50,63,25,6,6,6,6,6
Breaux,Delvin,Saints,CB,79,90,89,66,88,77,70,60,22,23,21,24,45,45,65,87,50,78,91,79,24,60,60,25,62,67,53,45,45,45,45,27,30,56,82,77,85,76,49,39,15,68,83,15,6,6,6,6,6
Long,Spencer,Redskins,C,78,67,75,88,53,84,35,40,31,29,16,12,74,86,29,65,10,78,85,75,25,15,10,10,10,10,84,87,81,79,70,10,10,29,35,26,11,19,15,15,15,25,10,15,6,6,6,6,6
Kern,Brett,Titans,P,78,65,72,45,72,64,45,45,45,45,90,83,20,20,20,40,10,78,75,50,10,12,10,10,10,10,15,15,15,15,15,10,10,10,25,15,10,25,12,10,10,12,10,12,15,15,15,15,15
Pouncey,Mike,Dolphins,C,77,66,79,88,72,84,35,32,12,10,15,10,78,75,40,59,10,78,82,82,35,25,15,20,10,10,94,89,91,78,85,10,10,24,29,10,12,12,15,15,15,20,10,15,6,6,6,6,6
Jones IV,Sidney,Eagles,CB,74,88,92,69,89,65,69,63,25,25,15,15,45,45,68,81,60,78,91,82,31,67,73,34,63,78,47,45,45,45,45,28,36,49,78,65,83,76,54,50,23,56,84,18,6,6,6,6,6
Nelson,J.J.,Cardinals,WR,73,96,94,39,92,75,84,68,28,25,21,20,51,27,24,88,77,78,88,65,29,80,86,36,80,90,45,24,25,20,22,10,10,30,24,27,19,25,79,78,75,15,15,57,29,25,21,15,15
Kouandjio,Cyrus,Lions,LT,72,53,80,86,60,74,30,35,26,26,25,25,75,78,35,77,10,78,83,69,20,12,15,29,15,10,79,91,85,87,77,30,25,30,25,20,15,10,15,15,15,20,15,15,6,6,6,6,6
Shaw,Josh,Bengals,CB,72,90,91,74,83,65,62,65,35,35,25,25,45,45,69,88,60,78,89,75,39,70,69,45,70,71,47,45,45,45,45,35,42,66,75,65,73,79,55,45,35,52,78,30,6,6,6,6,6
Parry,David,Colts,DT,70,60,82,91,53,76,25,35,10,11,24,21,45,45,81,77,10,78,83,85,24,10,10,10,10,17,86,45,45,45,45,74,51,68,77,76,15,25,12,10,10,69,10,12,6,6,6,6,6
Benn,Arrelious,Jaguars,WR,70,84,89,74,84,71,75,73,35,33,25,15,57,50,35,89,60,78,87,77,72,63,79,81,70,77,65,73,66,55,45,10,10,30,49,18,15,25,79,81,65,15,15,82,15,10,6,6,10
Anzalone,Alex,Saints,ROLB,68,85,88,74,84,60,58,47,25,24,28,18,45,45,82,75,14,78,86,72,34,27,35,41,22,31,84,45,45,45,45,66,56,74,84,60,65,70,30,33,22,83,43,19,6,6,6,6,6
Mayo,David,Panthers,ROLB,66,81,87,75,74,61,62,55,25,29,22,29,45,45,85,84,10,78,84,82,45,32,39,50,33,35,74,45,45,45,45,60,53,79,85,61,54,60,20,24,15,73,39,15,6,6,6,6,6
Nunez-Roches,Rakeem,Chiefs,LE,65,72,84,80,54,62,30,40,16,23,15,25,45,45,85,83,10,78,86,76,15,10,10,10,10,10,78,45,45,45,45,74,58,78,84,62,20,30,15,15,15,77,20,15,6,6,6,6,6
Elston,Trae,Bills,FS,62,89,93,64,86,50,63,65,26,22,23,19,45,45,72,82,35,78,88,87,55,44,61,57,60,62,56,45,45,45,45,45,31,52,75,50,67,70,54,51,15,73,71,15,6,6,6,6,6
Halapio,Jon,Giants,RG,62,61,79,85,52,48,40,40,30,30,25,25,81,71,39,70,10,78,85,91,25,10,10,30,10,10,70,88,78,77,68,10,10,20,20,15,12,15,15,15,15,20,10,15,6,6,6,6,6
Smith,Terrance,Chiefs,MLB,60,82,88,77,82,56,51,54,25,25,20,20,45,45,78,82,15,78,87,81,50,45,40,45,50,52,75,45,45,45,45,64,70,70,77,56,56,61,52,50,22,73,55,12,6,6,6,6,6
Abdesmad,Mehdi,Titans,LE,60,70,83,81,70,50,25,33,19,9,37,27,45,45,76,73,10,78,75,78,15,10,10,10,10,10,78,45,45,45,45,70,72,70,72,50,13,30,15,15,15,72,10,15,6,6,6,6,6
Redmond,Alex,Bengals,RG,58,64,77,86,70,50,40,45,30,30,25,25,69,70,30,69,10,78,77,80,20,12,10,30,10,10,70,82,74,79,70,10,10,20,30,50,12,15,15,15,15,20,10,15,6,6,6,6,6
Marshall,Byron,Eagles,WR,54,88,88,65,87,52,71,72,31,28,21,20,35,30,33,72,81,78,84,80,61,81,69,70,77,81,45,44,43,49,47,11,12,26,38,20,14,19,67,60,50,21,16,47,35,30,20,15,15
Ajayi,Jay,Dolphins,HB,87,88,90,79,91,89,67,86,34,28,47,43,45,50,39,88,55,79,82,85,84,89,91,88,79,91,45,45,44,49,47,20,17,31,45,10,10,20,70,63,68,45,15,60,10,10,10,5,5
Clowney,Jadeveon,Texans,LOLB,86,87,89,79,87,84,44,59,35,33,21,20,45,45,83,89,10,79,84,79,54,42,55,60,50,55,92,45,45,45,45,87,75,87,90,84,50,60,44,40,15,86,35,15,6,6,6,6,6
Mathews,Ryan,Eagles,HB,82,89,90,73,88,87,63,79,24,22,12,13,40,49,32,75,25,79,87,78,85,78,88,92,82,86,52,55,45,68,48,10,10,26,45,13,11,21,60,67,66,20,20,65,35,30,20,15,15
Sims,Dion,Bears,TE,78,80,88,76,75,77,83,75,35,30,25,25,59,55,44,87,20,79,86,74,81,49,75,69,72,66,80,69,65,67,61,10,10,45,35,10,12,18,81,82,68,30,25,73,10,10,10,10,10
Blackmon,Will,Redskins,FS,77,84,86,55,87,84,72,72,24,22,10,11,45,45,64,86,72,79,96,78,10,85,84,20,88,88,58,45,45,45,45,28,38,58,78,84,76,81,40,48,62,30,65,58,6,6,6,6,6
Jerry,John,Giants,RG,77,65,77,88,48,83,30,30,9,35,22,20,73,85,34,57,10,79,73,66,10,20,10,10,10,10,81,93,81,84,65,10,10,34,21,10,12,12,12,10,10,20,10,12,6,6,6,6,6
Cooper,Jonathan,Cowboys,LG,77,69,82,88,71,73,35,45,30,30,25,25,75,84,44,73,10,79,86,72,15,10,10,10,10,10,82,85,87,87,89,40,30,25,35,25,12,15,12,10,10,55,10,12,6,6,6,6,6
Willson,Luke,Seahawks,TE,76,87,91,72,83,76,80,73,45,40,22,22,56,54,42,89,40,79,85,84,67,60,68,54,72,75,66,65,64,51,53,10,10,49,33,19,22,25,84,80,73,12,10,72,15,10,6,6,10
Fowler Jr,Dante,Jaguars,LE,76,85,88,73,84,69,52,55,25,25,21,22,45,45,82,82,10,79,82,77,55,45,50,45,52,45,82,45,45,45,45,66,78,78,82,69,51,60,44,49,15,86,42,28,6,6,6,6,6
Toomer,Korey,Chargers,MLB,75,86,87,73,88,78,56,60,22,35,16,20,45,45,78,95,10,79,85,62,25,35,33,42,40,50,82,45,45,45,45,48,60,77,78,78,75,82,35,33,15,73,61,12,6,6,6,6,6
Blue,Alfred,Texans,HB,75,87,91,67,79,78,64,85,30,30,25,25,40,49,29,81,72,79,84,78,84,66,84,84,76,80,52,49,49,45,44,10,10,11,40,20,15,20,66,72,64,20,20,64,30,25,20,15,15
Jack,Myles,Jaguars,MLB,75,87,90,74,88,73,68,76,22,24,21,19,30,57,82,91,65,79,86,86,74,69,75,79,52,72,78,44,44,43,44,61,75,74,83,73,70,77,57,59,64,83,53,50,26,22,20,18,27
Smith,Jaylon,Cowboys,MLB,75,85,88,75,87,70,53,45,25,24,19,19,29,21,86,86,10,79,86,85,32,38,47,39,32,47,82,44,44,44,43,63,71,77,84,70,70,72,33,28,15,88,52,22,6,6,6,6,6
Hoomanawanui,Michael,Saints,TE,74,77,84,84,68,78,79,77,21,21,42,40,73,53,50,60,25,79,78,90,78,35,39,70,42,45,75,81,70,71,59,25,25,54,55,25,10,30,62,82,63,70,36,55,6,6,6,6,6
Carrie,T.J.,Raiders,CB,74,91,91,68,90,70,64,67,24,22,10,11,45,45,66,97,83,79,89,87,21,65,80,25,71,80,51,45,45,45,45,25,30,61,78,70,72,77,49,49,42,55,86,58,6,6,6,6,6
Williams,Brandon,Colts,TE,71,86,87,77,80,58,71,69,13,12,15,19,73,65,47,87,8,79,84,76,66,49,66,61,70,72,67,67,66,62,60,10,10,52,40,13,26,23,76,70,59,15,10,69,15,10,6,6,10
Toilolo,Levine,Falcons,TE,70,76,84,74,74,79,77,76,30,28,22,19,57,57,52,84,10,79,86,75,70,41,64,72,63,60,72,71,65,65,64,10,10,44,41,16,15,20,77,68,60,15,10,76,15,10,6,6,10
Tate,Brandon,Bills,WR,69,88,91,66,87,66,75,69,25,31,33,15,61,40,32,91,80,79,87,90,69,86,85,67,84,85,45,50,50,40,40,10,10,42,28,26,18,24,80,74,68,15,25,65,15,10,6,6,10
Petty,Bryce,Jets,QB,69,77,84,56,76,61,30,61,91,77,20,20,15,14,17,81,5,79,87,85,49,45,69,33,49,50,19,18,17,16,16,5,5,23,30,10,10,15,13,15,12,7,5,10,81,75,74,76,73
Roberts,Darryl,Jets,CB,68,92,94,75,94,58,53,52,10,11,15,12,45,45,40,91,63,79,88,68,20,70,64,21,70,74,47,45,45,45,45,30,35,46,64,58,78,67,49,42,25,62,79,35,6,6,6,6,6
Odhiambo,Rees,Seahawks,RG,66,64,77,83,69,62,22,31,26,19,25,25,74,74,37,75,10,79,81,75,20,12,10,30,10,10,76,82,85,73,83,10,10,26,25,15,12,15,15,15,15,40,10,15,6,6,6,6,6
Rodgers,Jake,Steelers,LT,65,64,80,78,48,51,35,44,25,25,20,20,72,79,35,80,10,79,76,82,17,10,10,10,10,10,76,71,74,75,83,15,10,15,22,15,12,15,12,10,10,34,10,12,6,6,6,6,6
Fabiano,Anthony,Browns,C,64,71,85,86,72,52,28,31,24,21,20,20,74,76,35,79,9,79,82,84,27,18,16,19,10,11,78,80,78,77,76,19,17,29,31,19,12,14,14,14,13,33,10,15,6,6,6,6,6
Washington,Cornelius,Lions,LE,64,86,87,88,75,50,45,65,20,25,37,30,45,45,74,89,10,79,72,75,65,35,51,45,57,48,81,45,45,45,45,76,59,74,74,50,55,64,40,35,31,81,54,35,6,6,6,6,6
Stinson,Ed,Cardinals,LE,62,73,80,88,53,63,27,40,16,23,15,25,45,45,76,75,10,79,74,88,15,10,10,10,10,10,78,45,45,45,45,74,51,79,79,63,25,34,15,15,15,73,20,15,6,6,6,6,6
