College,Geographic Location
Michigan,"Ann Arbor, MI"
Michigan St.,"East Lansing, MI"
Michigan State,"East Lansing, MI"
Middle Tennessee St.,"Murfreesboro, TN"
Middle Tennessee State,"Murfreesboro, TN"
Minnesota,"Minneapolis, MN"
Minnesota-Morris,"Morris, MN"
Mississippi,"Oxford, MS"
Mississippi St.,"Starkville, MS"
Mississippi State,"Starkville, MS"
Missouri,"Columbia, MO"
Missouri Southern,"Joplin, MO"
Missouri Western,"St. Joseph, MO"
Montana,"Missoula, MT"
Montana St,"Bozeman, MT"
Montana State,"Bozeman, MT"
Morgan State,"Baltimore, MD"
Navy,"Annapolis, MD"
Nebraska,"Lincoln, NE"
Nevada,"Reno, NV"
New Mexico,"Albuquerque, NM"
New Mexico St.,"Las Cruces, NM"
New Mexico State,"Las Cruces, NM"
Nicholls State,"Thibodaux, LA"
Norfolk State,"Norfolk, VA"
North Alabama,"Florence, AL"
North Carolina,"Chapel Hill, NC"
North Carolina A&T,"Greensboro, NC"
North Carolina Central,"Durham, NC"
North Carolina St.,"Raleigh, NC"
North Carolina State,"Raleigh, NC"
North Dakota St,"Fargo, ND"
North Dakota State,"Fargo, ND"
North Texas,"Denton, TX"
Northern Arizona,"Flagstaff, AZ"
Northern Colorado,"Greeley, CO"
Northern Illinois,"DeKalb, IL"
Northern Iowa,"Cedar Falls, IA"
Northwestern,"Evanston, IL"
Northwestern St. (LA),"Natchitoches, LA"
Northwestern State,"Natchitoches, LA"
Notre Dame,"Notre Dame, IN"
Ohio,"Athens, OH"
Ohio St.,"Columbus, OH"
Ohio State,"Columbus, OH"
Oklahoma,"Norman, OK"
Oklahoma St.,"Stillwater, OK"
Oklahoma State,"Stillwater, OK"
Old Dominion,"Norfolk, VA"
Oregon,"Eugene, OR"
Oregon St.,"Corvallis, OR"
Oregon State,"Corvallis, OR"
Penn St.,"State College, PA"
Penn State,"University Park, PA"
Pittsburgh,"Pittsburgh, PA"
Portland State,"Portland, OR"
Purdue,"West Lafayette, IN"
Rice,"Houston, TX"
Richmond,"Richmond, VA"
Rutgers,"Piscataway, NJ"
Sam Houston State,"Huntsville, TX"
Samford,"Homewood, AL"
San Diego,"San Diego, CA"
San Diego St.,"San Diego, CA"
San Diego State,"San Diego, CA"
San Jose St,"San Jose, CA"
San Jose St.,"San Jose, CA"
San Jose State,"San Jose, CA"
Savannah State,"Savannah, GA"
Shepherd,"Shepherdstown, WV"
SMU,"Dallas, TX"
South Alabama,"Mobile, AL"
South Carolina,"Columbia, SC"
South Carolina State,"Orangeburg, SC"
South Dakota St.,"Brookings, SD"
South Florida,"Tampa, FL"
Southeastern Louisiana,"Hammond, LA"
Southern,"Baton Rouge, LA"
Southern California,"Los Angeles, CA"
Southern Illinois,"Carbondale, IL"
Southern Methodist,"Dallas, TX"
Southern Miss,"Hattiesburg, MS"
Southern Oregon,"Ashland, OR"
Southern Utah,"Cedar City, UT"
Stanford,"Stanford, CA"
Stillman,"Tuscaloosa, AL"
Syracuse,"Syracuse, NY"
TCU,"Fort Worth, TX"
Temple,"Philadelphia, PA"
Tennessee,"Knoxville, TN"
Tennessee State,"Nashville, TN"
Tennessee Tech,"Cookeville, TN"
Tennessee-Martin,"Martin, TN"
Texas,"Austin, TX"
Texas A&M,"College Station, TX"
Texas A&M-Commerce,"Commerce, TX"
Texas Christian,"Fort Worth, TX"
Texas College,"Tyler, TX"
Texas St.,"San Marcos, TX"
Texas State,"San Marcos, TX"
Texas Tech,"Lubbock, TX"
Texas-El Paso,"El Paso, TX"
Texas-San Antonio,"San Antonio, TX"
Toledo,"Toledo, OH"
Towson,"Towson, MD"
Troy,"Troy, AL"
Tulane,"New Orleans, LA"
Tulsa,"Tulsa, OK"
UC Davis,"Davis, CA"
UCLA,"Los Angeles, CA"
UNLV,"Las Vegas, NV"
USC,"Los Angeles, CA"
Utah,"Salt Lake City, UT"
Utah St.,"Logan, UT"
Utah State,"Logan, UT"
Vanderbilt,"Nashville, TN"
Villanova,"Villanova, PA"
Virginia,"Charlottesville, VA"
Virginia Tech,"Blacksburg, VA"
Wake Forest,"Winston-Salem, NC"
Washington,"Seattle, WA"
Washington St.,"Pullman, WA"
Washington State,"Pullman, WA"
Wayne State (MI),"Detroit, MI"
Weber State,"Ogden, UT"
West Georgia,"Carrollton, GA"
West Liberty,"West Liberty, WV"
West Texas A&M,"Canyon, TX"
West Virginia,"Morgantown, WV"
Western Carolina,"Cullowhee, NC"
Western Kentucky,"Bowling Green, KY"
Western Michigan,"Kalamazoo, MI"
Wisconsin,"Madison, WI"
Wyoming,"Laramie, WY"
Yale,"New Haven, CT"
Youngstown State,"Youngstown, OH"
