Name,Team,Position,OVR
Ike Taylor,Steelers,CB,84
Terrell Thomas,Giants,CB,84
Ronde Barber,Buccaneers,CB,84
Cedric Griffin,Vikings,CB,82
A Goodman,Broncos,CB,82
Derek Cox,Jaguars,CB,82
Vontae Davis,Dolphins,CB,82
Domonique Foxworth,Ravens,CB,82
Leigh Bodden,Patriots,CB,82
Richard Marshall,Panthers,CB,82
Leigh Bodden,Patriots,CB,82
Derek Cox,Jaguars,CB,82
Vontae Davis,Dolphins,CB,82
Josh Wilson,Seahawks,CB,82
Will Allen,Dolphins,CB,81
L McKelvin,Bills,CB,81
Ronald Bartell,Rams,CB,81
Shawntae Spencer,49ers,CB,81
Jerraud Powers,Colts,CB,81
Richard Marshall,Panthers,CB,82
Leigh Bodden,Patriots,CB,82
Derek Cox,Jaguars,CB,82
Vontae Davis,Dolphins,CB,82
Josh Wilson,Seahawks,CB,82
Will Allen,Dolphins,CB,81
L McKelvin,Bills,CB,81
Ronald Bartell,Rams,CB,81
Shawntae Spencer,49ers,CB,81
Jerraud Powers,Colts,CB,81
Bryant McFadden,Steelers,CB,79
Sean Smith,Dolphins,CB,79
Joe Haden,Browns,CB,79
Carlos Rogers,Redskins,CB,79
Devin McCourty,Patriots,CB,79
Antoine Cason,Chargers,CB,78
Aaron Ross,Giants,CB,78
Lito Sheppard,Vikings,CB,77
Brian Williams,Falcons,CB,77
Kyle Wilson,Jets,CB,76
Chris Johnson,Raiders,CB,76
Darius Butler,Patriots,CB,76
Glover Quin Jr.,Texans,CB,76
Patrick Robinson,Saints,CB,75
Randall Gay,Saints,CB,75
Gregory Toler,Cardinals,CB,75
Deshea Townsend,Colts,CB,75
Orlando Scandrick,Cowboys,CB,75
Brent Grimes,Falcons,CB,75
Bruce Johnson,Giants,CB,75
Tramon Williams,Packers,CB,75
Z Bowman,Bears,CB,74
P Jones,Bengals,CB,74
Lardarius Webb,Ravens,CB,74
Phillip Buchanon,Redskins,CB,74
Joselio Hanson,Eagles,CB,74
Dwight Lowery,Jets,CB,74
Devin McCourty,Patriots,CB,74
Tarell Brown,49ers,CB,73
Mike Adams,Browns,CB,73
Fabian Washington,Ravens,CB,72
Justin Tryon,Redskins,CB,72
Kelly Jennings,Seahawks,CB,72
Kareem Jackson,Texans,CB,72
William James,49ers,CB,72
Macho Harris,Eagles,CB,72
Chris Owens,Falcons,CB,72
Brandon Carr,Chiefs,CB,72
Captain Munnerlyn,Panthers,CB,72
P Cox,Broncos,CB,71
Jacob Lacey,Colts,CB,71
Javier Arenas,Chiefs,CB,71
Chris Houston,Lions,CB,71
Dre Bly,Lions,CB,70
D Manning,Bears,CB,70
Jerome Murphy,Rams,CB,70
Chris Cook,Vikings,CB,70
William Gay,Steelers,CB,69
Benny Sapp,Vikings,CB,69
A Smith,Broncos,CB,69
Nathan Vasher,Chargers,CB,69
Brandon McDonald,Lions,CB,68
D Florence,Bills,CB,68
T Jennings,Bears,CB,68
K Ratliff,Bengals,CB,68
B Ghee,Bengals,CB,68
Brandon McDonald,Browns,CB,68
Elbert Mack,Buccaneers,CB,68
Donald Strickland,Chargers,CB,68
Jonathan Wilhite,Patriots,CB,68
Bradley Fletcher,Rams,CB,68
Jacques Reeves,Texans,CB,68
Brice McCain,Texans,CB,68
Tye Hill,Titans,CB,68
Jason McCourty,Titans,CB,68
Asher Allen,Vikings,CB,68
Chevis Jackson,Falcons,CB,68
Amari Spievey,Lions,CB,68
Jonathan Wade,Lions,CB,68
Mike Richardson,Chiefs,CB,67
Brandon Underwood,Packers,CB,67
Stanford Routt,Raiders,CB,67
N Jones,Broncos,CB,67
M Trent,Bengals,CB,67
Coye Francies,Browns,CB,67
Sam Shields,Packers,CB,67
Quincy Butler,Rams,CB,66
Travis Fisher,Ravens,CB,66
Joe Burnett,Steelers,CB,66
Fred Bennett,Texans,CB,66
Alterraun Verner,Titans,CB,66
S Thompson,Broncos,CB,66
C Graham,Bears,CB,66
Myron Lewis,Buccaneers,CB,66
Scott Starks,Jaguars,CB,66
Eric King,Lions,CB,66
Marquice Cole,Jets,CB,66
Dominique Franks,Falcons,CB,65
Dante Wesley,Lions,CB,65
Josh Bell,Packers,CB,65
A Youboty,Bills,CB,65
Chris Carr,Ravens,CB,65
Sherrick McManis,Texans,CB,65
Leigh Torrence,Saints,CB,64
Karl Paymah,49ers,CB,64
D Moore,Bears,CB,64
Dante Hughes,Chargers,CB,64
Jamar Wall,Cowboys,CB,64
Jason Allen,Dolphins,CB,64
Trevard Lindley,Eagles,CB,64
Walter McFadden,Raiders,CB,64
Don Carey,Jaguars,CB,63
Maurice Leggett,Chiefs,CB,63
Jarrett Bush,Packers,CB,63
Pat Lee,Packers,CB,63
Jeremy Ware,Raiders,CB,63
R Corner,Bills,CB,63
J Moore,Bears,CB,63
Gerard Lawson,Browns,CB,63
Brandon Hughes,Chargers,CB,63
Justin King,Rams,CB,63
Kevin Barnes,Redskins,CB,63
Ryan Mouton,Titans,CB,63
Terrence Wheatley,Patriots,CB,62
Byron Westbrook,Redskins,CB,62
Roy Lewis,Seahawks,CB,62
Trumaine McBride,Cardinals,CB,62
Michael Adams,Cardinals,CB,62
Donald Washington,Chiefs,CB,62
C.J. Wilson,Panthers,CB,62
E Lankster,Bills,CB,61
Keenan Lewis,Steelers,CB,61
Drew Coleman,Jets,CB,61
Tyron Brackenridge,Jaguars,CB,60
Jack Williams,Lions,CB,60
D Jones,Bengals,CB,60
Terrail Lambert,Colts,CB,60
Walter Thurmond III,Seahawks,CB,60
E.J. Biggers,Buccaneers,CB,59
Nolan Carroll,Dolphins,CB,59
Cletis Gordon,Cowboys,CB,58
Marcus Hudson,Panthers,CB,58
Cary Williams,Ravens,CB,58
Kevin Williams,Vikings,DT,97
Vince Wilfork,Patriots,DT,95
Jay Ratliff,Cowboys,DT,94
Kris Jenkins,Jets,DT,94
Shaun Rogers,Browns,DT,93
Casey Hampton,Steelers,DT,91
Casey Hampton,Steelers,DT,91
Ndamukong Suh,Lions,DT,90
Aubrayo Franklin,49ers,DT,90
Randy Starks,Dolphins,DT,89
Randy Starks,Dolphins,DT,89
Pat Williams,Vikings,DT,88
Ndamukong Suh,Lions,DT,88
Sedrick Ellis,Saints,DT,88
Brodrick Bunkley,Eagles,DT,88
J Williams,Broncos,DT,87
Tony Brown,Titans,DT,87
T Harris,Bears,DT,87
Brandon Mebane,Seahawks,DT,86
Jonathan Babineaux,Falcons,DT,86
D Peko,Bengals,DT,86
Brandon Mebane,Seahawks,DT,86
Ndamukong Suh,Lions,DT,85
Jason Jones,Titans,DT,84
John Henderson,Raiders,DT,84
Gerald McCoy,Buccaneers,DT,84
Kelly Gregg,Ravens,DT,84
Terrance Knighton,Jaguars,DT,83
Mike Patterson,Eagles,DT,83
Tyson Alualu,Jaguars,DT,82
John Henderson,Raiders,DT,81
Barry Cofield,Giants,DT,81
Tyson Alualu,Jaguars,DT,82
John Henderson,Raiders,DT,81
Barry Cofield,Giants,DT,81
K Williams,Bills,DT,79
B.J. Raji,Packers,DT,79
Jovan Haye,Titans,DT,78
Antonio Johnson,Colts,DT,78
Peria Jerry,Falcons,DT,78
Corey Williams,Lions,DT,78
Tommy Kelly,Raiders,DT,78
P Sims,Bengals,DT,77
T Johnson,Bengals,DT,77
Cliff Ryan,Rams,DT,77
Jason Jones,Titans,DT,77
Chris Canty,Giants,DT,77
Paul Soliai,Dolphins,DT,76
Tyson Alualu,Jaguars,DT,76
Jay Alford,Giants,DT,76
R Fields,Broncos,DT,76
J Fanene,Bengals,DT,76
Dan Williams,Cardinals,DT,76
Ma'ake Kemoeatu,Redskins,DT,76
Remi Ayodele,Saints,DT,76
Colin Cole,Seahawks,DT,76
Chris Hovan,Rams,DT,75
Brian Price,Buccaneers,DT,75
Daniel Muir,Colts,DT,75
Rocky Bernard,Giants,DT,75
Sammie Hill,Lions,DT,75
Ahtyba Rubin,Browns,DT,74
Tony Hargrove,Saints,DT,74
Chris Hoke,Steelers,DT,74
Amobi Okoye,Texans,DT,74
Ron Edwards,Chiefs,DT,74
Kedric Golston,Redskins,DT,73
Shaun Cody,Texans,DT,73
Jimmy Kennedy,Vikings,DT,73
Terrence Cody,Ravens,DT,72
Ryan Sims,Buccaneers,DT,72
Bryan Robinson,Cardinals,DT,72
Atiyyah Ellison,Jaguars,DT,72
Shaun Smith,Chiefs,DT,72
Sione Pouha,Jets,DT,72
A Adams,Bears,DT,71
Roy Miller,Buccaneers,DT,71
Eric Foster,Colts,DT,71
Thomas Johnson,Falcons,DT,71
Tank Tyler,Panthers,DT,70
Lamarr Houston,Raiders,DT,70
Ogemdi Nwagbuo,Chargers,DT,69
Louis Leonard,Panthers,DT,69
Nick Hayden,Panthers,DT,69
Geno Atkins,Bengals,DT,69
Ricky Jean-Francois,49ers,DT,68
M Harrison,Bears,DT,68
Gabe Watson,Cardinals,DT,68
Myron Pryor,Patriots,DT,68
Sen Derrick Marks,Titans,DT,68
D Anthony Smith,Jaguars,DT,68
Linval Joseph,Giants,DT,68
Vance Walker,Falcons,DT,67
Howard Green,Redskins,DT,66
Fili Moala,Colts,DT,66
Trevor Laws,Eagles,DT,66
Antonio Dixon,Eagles,DT,66
William Joseph,Raiders,DT,66
Desmond Bryant,Raiders,DT,66
J Gilbert,Bears,DT,65
Brandon McKinney,Ravens,DT,65
DeMario Pressley,Saints,DT,65
Kevin Vickerson,Seahawks,DT,65
Darell Scott,Rams,DT,64
Earl Mitchell,Texans,DT,64
C Baker,Broncos,DT,64
Corey Peters,Falcons,DT,64
Landon Cohen,Lions,DT,64
Anthony Toribio,Packers,DT,63
Cam Thomas,Chargers,DT,63
Junior Siavii,Cowboys,DT,63
Scott Paxson,Steelers,DT,63
Frank Okam,Texans,DT,63
Deljuan Robinson,Texans,DT,62
Corvey Irvin,Panthers,DT,62
Vaughn Martin,Chargers,DT,61
Al Woods,Saints,DT,61
Montavious Stanley,Dolphins,DT,61
Andre Fluellen,Lions,DT,61
Khalif Mitchell,49ers,DT,60
T Troup,Bills,DT,60
Craig Terrill,Seahawks,DT,60
Fred Evans,Vikings,DT,60
Dion Gales,Chiefs,DT,58
Letroy Guion,Vikings,DT,58
Dre Moore,Buccaneers,DT,57
Brian Schaefering,Browns,DT,56
Ryan Baker,Dolphins,DT,56
Rodrique Wright,Jets,DT,51
Tony Richardson,Jets,FB,94
Lousaka Polite,Dolphins,FB,91
Leonard Weaver,Eagles,FB,90
Le Ron McClain,Ravens,FB,90
Ovie Mughelli,Falcons,FB,88
Lawrence Vickers,Browns,FB,88
Madison Hedgecock,Giants,FB,86
Mike Karney,Rams,FB,85
Vonta Leach,Texans,FB,84
Greg Jones,Jaguars,FB,84
Mike Sellers,Redskins,FB,84
Ahmard Hall,Titans,FB,84
Heath Evans,Saints,FB,82
Heath Evans,Saints,FB,82
Earnest Graham,Buccaneers,FB,78
Jerome Felton,Lions,FB,78
Moran Norris,49ers,FB,77
Owen Schmitt,Seahawks,FB,77
Vonta Leach,Texans,FB,77
Deon Anderson,Cowboys,FB,76
Justin Griffith,Texans,FB,76
Naufahu Tahi,Vikings,FB,76
Jacob Hester,Chargers,FB,74
Mike Tolbert,Chargers,FB,74
John Kuhn,Packers,FB,73
Korey Hall,Packers,FB,72
Mike Cox,Chiefs,FB,70
C McIntyre,Bills,FB,70
Gijon Robinson,Colts,FB,70
F Vakapuna,Bengals,FB,68
Montell Owens,Jaguars,FB,68
John Conner,Jets,FB,67
Quinn Johnson,Packers,FB,66
Tony Fiammetta,Panthers,FB,66
Marcel Reece,Raiders,FB,63
Chris Pressley,Buccaneers,FB,63
Frank Summers,Steelers,FB,58
Nehemiah Broughton,Cardinals,FB,57
E Williams,Bears,FB,56
S Larsen,Broncos,FB,50
Ed Reed,Ravens,FS,97
Antoine Bethea,Colts,FS,95
Antoine Bethea,Colts,FS,95
Darren Sharper,Saints,FS,94
Nick Collins,Packers,FS,93
O.J. Atogwe,Rams,FS,92
B Dawkins,Broncos,FS,90
Tanard Jackson,Buccaneers,FS,88
Kerry Rhodes,Cardinals,FS,88
J Byrd,Bills,FS,87
Michael Griffin,Titans,FS,86
Eric Berry,Chiefs,FS,85
Eric Weddle,Chargers,FS,85
Louis Delmas,Lions,FS,85
Antrel Rolle,Giants,FS,85
Marlin Jackson,Eagles,FS,82
Marlin Jackson,Eagles,FS,82
Erik Coleman,Falcons,FS,81
Jordan Babineaux,Seahawks,FS,81
Marlin Jackson,Eagles,FS,82
Erik Coleman,Falcons,FS,81
Jordan Babineaux,Seahawks,FS,81
Eugene Wilson,Texans,FS,79
C Crocker,Bengals,FS,78
Michael Huff,Raiders,FS,78
James Sanders,Patriots,FS,77
Malcolm Jenkins,Saints,FS,77
Reggie Nelson,Jaguars,FS,77
Eric Smith,Jets,FS,77
Tom Zbikowski,Ravens,FS,76
Ken Hamlin,Ravens,FS,76
Nate Allen,Eagles,FS,75
Sherrod Martin,Panthers,FS,75
D McBath,Broncos,FS,74
Madieu Williams,Vikings,FS,74
William Moore,Falcons,FS,74
A Afalava,Bears,FS,73
G Wilson,Bengals,FS,73
Reed Doughty,Redskins,FS,72
Vincent Fuller,Titans,FS,72
G Wilson,Bills,FS,72
Abram Elam,Browns,FS,72
Brodney Pool,Jets,FS,72
Hiram Eugene,Raiders,FS,72
Kevin Payne,Rams,FS,71
Cody Grimm,Buccaneers,FS,70
Chris Horton,Redskins,FS,70
Will Allen,Steelers,FS,70
Alan Ball,Cowboys,FS,69
Usama Young,Saints,FS,68
Troy Nolan,Texans,FS,68
Kurt Coleman,Eagles,FS,68
Jordan Pugh,Panthers,FS,68
M Wright,Bears,FS,67
Paul Oliver,Chargers,FS,67
Michael Hamlin,Cowboys,FS,67
Craig Dahl,Rams,FS,67
C Steltz,Bears,FS,66
Rashad Johnson,Cardinals,FS,66
Chris Clemons,Dolphins,FS,66
Derrick Martin,Packers,FS,65
T.J. Ward,Browns,FS,65
Robert Johnson,Titans,FS,64
Corey Lynch,Buccaneers,FS,64
Reshad Jones,Dolphins,FS,64
Anthony Smith,Jaguars,FS,64
Reshard Langford,Chiefs,FS,64
Marvin White,Lions,FS,63
Husain Abdullah,Vikings,FS,63
T Nelson,Bengals,FS,62
Akwasi Owusu-Ansah,Cowboys,FS,62
Antoine Harris,Eagles,FS,62
Will Blackmon,Packers,FS,62
Ray Ventrone,Browns,FS,61
Curtis Taylor,49ers,FS,60
Jamar Adams,Seahawks,FS,54
Chris Johnson,Titans,HB,99
Adrian Peterson,Vikings,HB,99
Chris Johnson,Titans,HB,99
Adrian Peterson,Vikings,HB,98
Maurice Jones-Drew,Jaguars,HB,96
Steven Jackson,Rams,HB,95
Frank Gore,49ers,HB,93
DeAngelo Williams,Panthers,HB,92
Willis McGahee,Bills,HB,92
Michael Turner,Falcons,HB,90
Ray Rice,Ravens,HB,90
Larry Johnson,Chiefs,HB,90
Ray Rice,Ravens,HB,89
C Benson,Bengals,HB,89
Ray Rice,Ravens,HB,89
Ahmad Bradshaw,Giants,HB,88
Ryan Grant,Packers,HB,88
Thomas Jones,Chiefs,HB,88
Peyton Hillis,Browns,HB,88
Fred Taylor,Jaguars,HB,88
Jonathan Stewart,Panthers,HB,88
Darren McFadden,Raiders,HB,88
Rashard Mendenhall,Steelers,HB,87
Jamaal Charles,Chiefs,HB,87
Ricky Williams,Dolphins,HB,87
M Forte,Bears,HB,86
Clinton Portis,Redskins,HB,85
Arian Foster,Texans,HB,85
Jahvid Best,Lions,HB,85
Marion Barber,Cowboys,HB,84
LeSean McCoy,Eagles,HB,84
Pierre Thomas,Saints,HB,84
Arian Foster,Texans,HB,84
Willis McGahee,Ravens,HB,83
F Jackson,Bills,HB,83
Felix Jones,Cowboys,HB,83
Ahmad Bradshaw,Giants,HB,83
Willis McGahee,Ravens,HB,83
Brian Westbrook,49ers,HB,83
Jerome Harrison,Browns,HB,83
Darren McFadden,Raiders,HB,83
K Moreno,Broncos,HB,82
Brandon Jacobs,Giants,HB,82
Beanie Wells,Cardinals,HB,82
LaDainian Tomlinson,Jets,HB,82
LaDainian Tomlinson,Jets,HB,82
Beanie Wells,Cardinals,HB,82
Brandon Jacobs,Giants,HB,82
M Lynch,Bills,HB,81
Ahmad Bradshaw,Giants,HB,81
Shonn Greene,Jets,HB,81
Marshawn Lynch,Seahawks,HB,81
Larry Johnson,Redskins,HB,81
LaDainian Tomlinson,Jets,HB,82
Beanie Wells,Cardinals,HB,82
Brandon Jacobs,Giants,HB,82
M Lynch,Bills,HB,81
Ahmad Bradshaw,Giants,HB,81
Shonn Greene,Jets,HB,81
Marshawn Lynch,Seahawks,HB,81
Larry Johnson,Redskins,HB,81
C Spiller,Bills,HB,79
C Taylor,Bears,HB,79
Tim Hightower,Cardinals,HB,79
LeSean McCoy,Eagles,HB,79
Laurence Maroney,Patriots,HB,78
C Buckhalter,Broncos,HB,78
Donald Brown,Colts,HB,78
Michael Bush,Raiders,HB,78
Brandon Jacobs,Giants,HB,78
Brandon Jackson,Packers,HB,77
L White,Broncos,HB,77
Peyton Hillis,Browns,HB,77
Carnell Williams,Buccaneers,HB,77
Ryan Mathews,Chargers,HB,77
Tashard Choice,Cowboys,HB,77
Willie Parker,Redskins,HB,77
Julius Jones,Seahawks,HB,77
Mike Bell,Eagles,HB,77
Darren McFadden,Raiders,HB,77
Fred Taylor,Patriots,HB,77
Marion Barber,Cowboys,HB,76
Justin Forsett,Seahawks,HB,76
Steve Slaton,Texans,HB,76
Derrick Ward,Buccaneers,HB,75
Jerious Norwood,Falcons,HB,75
Kevin Faulk,Patriots,HB,75
Ryan Torain,Redskins,HB,75
Ben Jarvis Green-Ellis,Patriots,HB,75
B Scott,Bengals,HB,74
Mewelde Moore,Steelers,HB,74
Jason Snelling,Falcons,HB,74
Jahvid Best,Lions,HB,74
Maurice Morris,Lions,HB,74
Glen Coffee,49ers,HB,71
Toby Gerhart,Vikings,HB,71
Brandon Jackson,Packers,HB,70
B Leonard,Bengals,HB,70
Montario Hardesty,Browns,HB,70
Ben Jarvis Green-Ellis,Patriots,HB,69
Lynell Hamilton,Saints,HB,69
Ben Tate,Texans,HB,69
J Arrington,Broncos,HB,69
James Davis,Browns,HB,69
Jason Wright,Cardinals,HB,69
J.J. Arrington,Eagles,HB,69
Deji Karim,Jaguars,HB,69
Rashad Jennings,Jaguars,HB,69
Joe McKnight,Jets,HB,69
Michael Robinson,49ers,HB,68
Clifton Smith,Buccaneers,HB,68
Quinton Ganther,Seahawks,HB,68
Ryan Moats,Vikings,HB,68
Patrick Cobbs,Dolphins,HB,68
Eldra Buckley,Eagles,HB,68
Rock Cartwright,Raiders,HB,68
Aaron Brown,Lions,HB,67
Anthony Dixon,49ers,HB,67
Jonathan Dwyer,Steelers,HB,67
Arian Foster,Texans,HB,67
Javon Ringer,Titans,HB,67
Chris Ivory,Saints,HB,67
Kenneth Darby,Rams,HB,66
Jalen Parmele,Ravens,HB,66
Alvin Pearman,Titans,HB,66
Albert Young,Vikings,HB,66
Marcus Mason,Chargers,HB,66
Lex Hilliard,Dolphins,HB,66
Charles Scott,Eagles,HB,66
D.J. Ware,Giants,HB,66
Kory Sheets,Dolphins,HB,65
Jackie Battle,Chiefs,HB,65
James Starks,Packers,HB,65
Mike Goodson,Panthers,HB,65
Tyrell Sutton,Panthers,HB,65
Chris Jennings,Browns,HB,65
Mike Hart,Colts,HB,65
LeGarrette Blount,Titans,HB,65
Ian Johnson,Vikings,HB,65
Keiland Williams,Redskins,HB,65
Chris Ogbonnaya,Rams,HB,64
C Simpson,Bills,HB,64
G Wolfe,Bears,HB,64
K Bell,Bears,HB,64
LaRod Stephens-Howling,Cardinals,HB,64
Shawnbrey McNeal,Chargers,HB,64
Javarris Williams,Chiefs,HB,64
Danny Woodhead,Jets,HB,61
Michael Bennett,Raiders,HB,60
Devin Moore,Colts,HB,59
Louis Rankin,Seahawks,HB,58
Darius Reynaud,Vikings,HB,56
R Gould,Bears,K,95
Nate Kaeding,Chargers,K,95
Nate Kaeding,Chargers,K,95
Rob Bironas,Titans,K,93
Ryan Longwell,Vikings,K,92
Stephen Gostkowski,Patriots,K,91
Stephen Gostkowski,Patriots,K,91
Sebastian Janikowski,Raiders,K,90
Jason Hanson,Lions,K,89
David Akers,Eagles,K,89
Jason Hanson,Lions,K,89
John Kasay,Panthers,K,87
Josh Brown,Rams,K,87
Phil Dawson,Browns,K,87
Jay Feely,Cardinals,K,86
Shayne Graham,Ravens,K,83
Phil Dawson,Browns,K,82
Adam Vinatieri,Colts,K,82
Phil Dawson,Browns,K,82
Adam Vinatieri,Colts,K,82
Phil Dawson,Browns,K,82
Ryan Succop,Chiefs,K,79
Neil Rackers,Texans,K,77
Garrett Hartley,Saints,K,76
Jeff Reed,Steelers,K,75
Matt Bryant,Falcons,K,74
Josh Scobee,Jaguars,K,74
Nick Folk,Jets,K,73
M Prater,Broncos,K,73
Kris Brown,Texans,K,71
Mason Crosby,Packers,K,71
Billy Cundiff,Ravens,K,70
David Buehler,Cowboys,K,68
Lawrence Tynes,Giants,K,68
Connor Barth,Buccaneers,K,67
Graham Gano,Redskins,K,61
Rhys Lloyd,Vikings,K,60
D Rayner,Bengals,K,52
Richard Seymour,Raiders,LE,92
Justin Tuck,Giants,LE,92
Luis Castillo,Chargers,LE,88
Aaron Smith,Steelers,LE,87
Calais Campbell,Cardinals,LE,86
Shaun Ellis,Jets,LE,86
Shaun Ellis,Jets,LE,86
Ray Edwards,Vikings,LE,85
Ty Warren,Patriots,LE,84
Chris Long,Rams,LE,83
Chris Long,Rams,LE,83
Antonio Smith,Texans,LE,82
Antonio Smith,Texans,LE,82
Antonio Smith,Texans,LE,82
Kendall Langford,Dolphins,LE,79
Lamarr Houston,Raiders,LE,79
Charles Johnson,Panthers,LE,79
Brandon Graham,Eagles,LE,78
Lawrence Jackson,Lions,LE,77
Kroy Biermann,Falcons,LE,77
J Bannan,Broncos,LE,77
Lawrence Jackson,Seahawks,LE,77
Ryan Pickett,Packers,LE,77
Jason Pierre-Paul,Giants,LE,76
Charles Grant,Dolphins,LE,76
Cory Redding,Ravens,LE,76
Jimmy Wilkerson,Saints,LE,76
Kenyon Coleman,Browns,LE,75
Phillip Merling,Dolphins,LE,75
Tyson Jackson,Chiefs,LE,75
Vernon Gholston,Jets,LE,75
Kentawn Balmer,Seahawks,LE,74
M Anderson,Bears,LE,74
C Dunlap,Bengals,LE,74
Adam Carriker,Redskins,LE,74
Victor Abiamiri,Eagles,LE,73
Tyler Brayton,Panthers,LE,73
R McBean,Broncos,LE,73
C Wootton,Bears,LE,73
Keyunta Dawson,Colts,LE,73
Marcus Spears,Cowboys,LE,73
Phillip Daniels,Redskins,LE,73
Everson Griffen,Vikings,LE,73
Ziggy Hood,Steelers,LE,72
Ricky Sapp,Eagles,LE,72
Jamaal Anderson,Falcons,LE,72
Isaac Sopoaga,49ers,LE,71
Red Bryant,Seahawks,LE,71
William Hayes,Titans,LE,71
Chauncey Davis,Falcons,LE,71
Jared DeVries,Lions,LE,71
Jay Richardson,Raiders,LE,71
Kroy Biermann,Falcons,LE,70
Derrick Harvey,Jaguars,LE,70
Jason Hunter,Lions,LE,70
Victor Adeyanju,Rams,LE,69
Jason Babin,Titans,LE,69
Daniel Te'o-Nesheim,Eagles,LE,68
Kentwan Balmer,49ers,LE,68
Tim Crowder,Buccaneers,LE,68
Mike Montgomery,Vikings,LE,68
Turk McBride,Lions,LE,68
F Rucker,Bengals,LE,67
Kyle Moore,Buccaneers,LE,67
Kenny Iwebema,Cardinals,LE,67
George Selvie,Rams,LE,66
Alfonso Boone,Chargers,LE,66
Greg Hardy,Panthers,LE,65
I Idonije,Bears,LE,65
Hall Davis,Rams,LE,64
Tim Bulman,Texans,LE,64
Ervin Baldwin,Colts,LE,64
C.J. Mosley,Browns,LE,63
Darryl Richard,Patriots,LE,62
Wallace Gilberry,Chiefs,LE,61
Dave Tollefson,Giants,LE,60
Ropati Pitoitua,Jets,LE,60
Jarius Wynn,Packers,LE,60
Austen Lane,Jaguars,LE,59
Jason Hatcher,Cowboys,LE,59
S Johnson,Bills,LE,58
E.J. Wilson,Seahawks,LE,57
Ron Brace,Patriots,LE,57
Steve Hutchinson,Vikings,LG,97
Logan Mankins,Patriots,LG,95
Ben Grubbs,Ravens,LG,94
Kris Dielman,Chargers,LG,93
Alan Faneca,Cardinals,LG,91
Carl Nicks,Saints,LG,91
Alan Faneca,Cardinals,LG,91
Alan Faneca,Cardinals,LG,89
