College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
Texas A&M,"College Station, TX",30.5955289,-96.3071042,41.68,0.0,41.2,44.4,51.0,58.1,66.6,72.7,74.6,74.5,69.4,60.3,50.5,42.2,61.0,64.8,71.7,78.9,85.8,91.7,94.8,96.2,90.5,81.4,71.0,62.3
Texas A&M-Commerce,"Commerce, TX",33.2442615,-95.9006353,42.07,0.23,30.9,34.4,42.0,49.9,60.2,67.7,71.6,70.8,63.0,51.7,41.7,32.2,52.5,56.7,64.6,73.0,80.1,87.7,92.3,93.3,85.7,75.5,63.9,53.5
Texas Christian,"Fort Worth, TX",32.753177,-97.3327459,37.8,0.02,35.1,38.7,45.9,53.9,63.4,70.7,74.4,74.3,66.7,56.0,45.6,36.3,56.4,60.1,67.6,75.8,83.5,91.0,95.0,95.8,88.2,77.6,66.5,57.0
Texas College,"Tyler, TX",32.3512601,-95.3010624,43.02,0.1,36.4,40.3,46.7,53.3,61.7,68.3,71.5,71.0,64.3,54.5,45.9,37.6,57.9,62.7,71.2,77.8,84.0,89.4,92.7,93.9,87.8,78.0,67.8,58.4
Texas St.,"San Marcos, TX",29.8826436,-97.9405828,35.19,0.04,38.7,42.2,49.1,56.8,65.5,71.7,73.5,73.6,67.7,58.4,49.0,40.3,62.4,65.9,72.5,79.7,85.9,91.4,94.3,95.8,90.0,82.0,72.0,63.3
Texas State,"San Marcos, TX",29.8826436,-97.9405828,35.19,0.04,38.7,42.2,49.1,56.8,65.5,71.7,73.5,73.6,67.7,58.4,49.0,40.3,62.4,65.9,72.5,79.7,85.9,91.4,94.3,95.8,90.0,82.0,72.0,63.3
Texas Tech,"Lubbock, TX",33.5635206,-101.879336,21.09,0.88,26.4,30.1,37.0,45.7,55.9,64.2,67.7,66.6,58.8,47.9,35.9,27.1,54.1,58.9,66.7,75.4,83.8,90.6,92.8,91.3,84.5,75.2,63.6,54.1
Texas-El Paso,"El Paso, TX",31.7754152,-106.4646348,10.54,0.27,32.5,37.1,42.9,50.7,60.0,68.0,70.9,69.7,63.3,52.0,40.1,32.5,57.7,63.1,70.3,78.6,87.8,95.5,94.7,92.4,87.6,78.2,66.2,57.1
Texas-San Antonio,"San Antonio, TX",29.4246002,-98.4951405,34.42,0,39.6,42.1,49.7,56.7,65.5,71.6,73.5,73.5,68.1,58.6,48.9,39.7,62.7,66.8,73.0,80.2,85.6,91.1,93.6,94.8,89.8,81.4,71.9,63.5
Toledo,"Toledo, OH",41.6786754,-83.5127283,34.44,2.76,21.6,22.5,29.3,40.1,51.5,62.2,66.7,64.5,55.9,44.7,35.6,25.8,33.4,37.1,46.6,59.2,71.2,81.5,85.5,83.5,76.7,63.2,50.2,38.0
Towson,"Towson, MD",39.4018552,-76.602388,47.91,0.8,24.1,26.5,32.6,41.6,51.5,59.8,64.0,63.9,56.6,45.5,36.3,27.6,41.1,44.8,53.0,65.0,72.6,80.3,84.5,81.9,74.7,65.5,55.0,43.9
Troy,"Troy, AL",31.8087678,-85.969951,52.05,0.0,34.8,37.5,43.1,49.8,58.5,66.6,69.8,69.6,63.9,52.4,42.8,36.5,58.2,62.2,69.6,76.6,84.0,89.3,91.5,91.0,86.8,77.9,68.9,59.9
Tulane,"New Orleans, LA",29.9499323,-90.0701156,68.9,0.01,38.9,41.7,47.1,54.1,62.9,69.5,71.8,71.7,67.2,56.8,47.4,41.3,59.5,62.9,68.8,75.1,81.6,86.2,88.4,88.3,85.1,77.9,69.6,61.8
Tulsa,"Tulsa, OK",36.1556805,-95.9929113,41.35,1.45,27.5,31.3,40.1,49.3,59.1,67.7,72.7,71.3,62.1,50.6,39.6,29.6,48.0,53.2,62.4,71.8,79.4,87.5,93.1,93.1,83.9,73.0,60.9,49.3
UC Davis,"Davis, CA",38.545379,-121.7445835,19.6,0,38.1,40.8,43.7,46.3,51.5,55.9,57.3,56.1,54.4,49.2,42.5,37.8,53.9,60.1,65.8,72.5,81.2,88.6,93.4,92.5,88.9,79.1,64.5,54.3
UCLA,"Los Angeles, CA",34.0536909,-118.2427666,15.32,0.0,47.8,49.3,51.0,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52.0,47.5,68.2,68.6,70.2,72.7,74.5,78.1,83.1,84.4,83.1,78.5,72.8,67.7
UNLV,"Las Vegas, NV",36.1672559,-115.1485163,4.72,0.04,38.3,42.3,47.7,55.0,64.4,72.6,78.5,77.0,69.1,57.1,46.0,37.4,57.7,62.4,69.8,77.9,87.7,97.7,104.1,101.4,93.1,80.1,66.7,56.0
USC,"Los Angeles, CA",34.0536909,-118.2427666,15.32,0.0,47.8,49.3,51.0,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52.0,47.5,68.2,68.6,70.2,72.7,74.5,78.1,83.1,84.4,83.1,78.5,72.8,67.7
Utah,"Salt Lake City, UT",40.7596198,-111.8867975,28.1,5.87,26.5,31.0,37.8,42.8,51.7,61.2,68.6,66.9,57.6,46.1,35.8,27.4,38.4,43.7,53.5,61.4,71.4,82.4,90.3,88.5,78.3,65.0,50.3,39.9
Utah St.,"Logan, UT",41.7313447,-111.8348631,17.76,3.98,12.8,15.6,26.5,34.0,41.2,48.2,54.7,53.1,43.7,33.2,24.5,15.2,30.8,35.6,48.8,59.1,68.3,78.5,88.6,87.2,76.6,62.9,45.8,33.3
Utah State,"Logan, UT",41.7313447,-111.8348631,17.76,3.98,12.8,15.6,26.5,34.0,41.2,48.2,54.7,53.1,43.7,33.2,24.5,15.2,30.8,35.6,48.8,59.1,68.3,78.5,88.6,87.2,76.6,62.9,45.8,33.3
Vanderbilt,"Nashville, TN",36.1622296,-86.7743531,47.85,0.46,28.4,31.6,39.0,47.5,56.8,65.4,69.5,68.4,60.7,48.9,39.4,31.3,46.9,51.8,61.0,70.5,78.2,86.0,89.3,89.0,82.4,71.7,60.3,49.5
Villanova,"Villanova, PA",40.0373323,-75.3490769,46.23,4.53,25.0,27.1,33.9,43.4,53.3,62.9,67.7,66.3,58.9,47.3,38.5,29.2,38.7,42.0,50.7,61.9,71.6,80.5,84.6,82.8,75.6,64.3,54.0,43.2
Virginia,"Charlottesville, VA",38.029306,-78.4766781,47.68,0.85,24.7,26.6,34.6,44.2,53.7,62.6,66.5,65.1,57.1,46.2,36.7,28.2,42.2,45.8,54.2,64.3,71.9,80.4,84.1,82.3,74.7,65.0,55.9,45.2
Virginia Tech,"Blacksburg, VA",37.2296566,-80.4136767,39.06,0.93,21.4,23.6,29.8,38.2,47.2,56.5,60.1,58.7,51.0,39.3,31.0,23.8,41.5,44.9,53.3,63.3,71.4,78.9,82.2,81.4,75.3,65.4,55.5,43.8
Wake Forest,"Winston-Salem, NC",36.0998131,-80.2440518,41.41,0.18,30.1,33.1,39.6,47.7,56.1,65.2,68.9,68.1,60.7,50.2,40.4,32.6,48.9,53.2,61.2,70.6,78.4,85.0,88.6,86.4,79.9,70.8,61.7,51.1
Washington,"Seattle, WA",47.6038321,-122.3300624,39.88,0.68,37.3,37.1,39.7,42.9,48.8,53.3,56.5,57.0,53.1,46.8,40.6,36.0,48.6,51.4,55.4,59.9,65.8,70.7,75.8,76.2,70.8,60.7,52.4,46.9
Washington St.,"Pullman, WA",46.7304268,-117.173895,27.07,1.66,25.7,27.2,31.7,35.6,41.7,46.5,50.2,50.2,43.8,36.2,30.7,24.1,36.8,41.2,49.1,56.6,65.0,71.7,82.4,83.6,74.2,60.2,44.1,35.2
Washington State,"Pullman, WA",46.7304268,-117.173895,27.07,1.66,25.7,27.2,31.7,35.6,41.7,46.5,50.2,50.2,43.8,36.2,30.7,24.1,36.8,41.2,49.1,56.6,65.0,71.7,82.4,83.6,74.2,60.2,44.1,35.2
Wayne State (MI),"Detroit, MI",42.3315509,-83.0466403,31.33,3.14,18.3,19.5,25.6,36.7,46.6,57.7,62.1,60.8,53.5,41.5,32.6,23.3,32.8,35.9,45.7,59.5,70.0,80.4,84.2,82.3,75.3,61.5,49.7,36.5
Weber State,"Ogden, UT",41.2230048,-111.9738429,22.27,4.85,21.0,23.7,32.2,38.8,47.6,55.9,64.0,62.5,52.8,41.2,30.7,22.4,36.5,42.2,53.1,61.6,71.5,81.7,91.0,89.2,78.4,64.6,48.8,37.5
West Georgia,"Carrollton, GA",33.5801103,-85.0766113,55.05,0.22,29.4,32.9,38.5,46.5,55.2,63.4,67.3,67.0,59.9,47.9,38.8,32.0,51.3,56.0,64.0,71.9,79.0,85.3,87.6,86.7,81.0,71.9,63.2,53.5
West Liberty,"West Liberty, WV",40.169794,-80.5936851,38.93,2.82,21.9,24.1,31.1,41.4,49.9,58.4,62.4,61.2,54.4,43.9,35.4,26.0,36.0,39.8,49.1,61.3,70.1,78.1,82.1,81.1,74.3,62.7,51.0,39.7
West Texas A&M,"Canyon, TX",34.9798392,-101.9193395,21.14,1.15,21.5,24.1,31.7,41.2,51.9,60.7,65.4,64.3,56.2,43.8,31.6,21.8,51.4,55.0,63.1,71.8,80.6,88.9,91.7,90.0,83.5,73.5,61.3,50.4
West Virginia,"Morgantown, WV",39.6296809,-79.9559437,43.37,8.9,21.3,22.6,29.3,39.3,49.4,58.7,63.2,61.5,54.5,43.2,33.5,25.4,38.7,42.6,51.6,63.7,71.7,79.6,83.0,81.9,75.9,65.4,53.9,42.4
Western Carolina,"Cullowhee, NC",35.3137739,-83.1765814,57.95,0.78,24.2,27.3,32.9,40.4,49.6,57.8,61.9,61.1,54.8,42.9,33.4,27.0,48.2,52.4,60.6,69.1,76.3,82.0,84.8,83.9,78.3,69.6,60.1,50.1
Western Kentucky,"Bowling Green, KY",36.9903199,-86.4436018,53.51,1.24,26.0,28.5,36.0,44.9,54.7,63.5,67.5,65.9,58.4,47.0,37.8,28.9,46.9,51.6,61.3,71.9,80.0,88.2,91.7,91.2,84.7,73.9,62.3,50.0
Western Michigan,"Kalamazoo, MI",42.291707,-85.5872286,39.56,9.54,18.0,19.8,27.5,38.2,47.9,57.3,62.1,60.3,52.0,41.4,33.4,22.7,30.9,34.1,45.5,59.7,70.0,79.2,83.1,80.9,72.9,60.5,47.6,34.8
Wisconsin,"Madison, WI",43.074761,-89.3837613,37.27,3.49,11.1,15.1,24.8,35.8,46.1,56.1,61.0,59.0,50.2,38.8,28.2,15.9,26.4,31.1,43.1,57.3,68.4,77.9,81.6,79.4,71.8,58.9,44.1,30.2
Wyoming,"Laramie, WY",41.311367,-105.591101,11.43,6.85,10.1,11.9,18.7,24.6,33.7,41.9,48.0,46.7,37.9,28.0,17.4,10.0,33.3,35.2,43.0,51.1,61.5,72.5,80.1,77.9,68.6,55.7,41.3,32.2
Yale,"New Haven, CT",41.3082138,-72.9250518,45.1,0.0,22.2,24.9,31.2,40.2,49.3,59.7,65.5,64.9,56.1,45.0,36.6,28.4,37.8,40.5,47.6,58.2,68.5,77.3,82.5,80.9,74.4,63.4,53.5,42.9
Youngstown State,"Youngstown, OH",41.1035786,-80.6520161,35.35,21.89,20.1,21.9,28.5,38.5,47.5,57.0,61.3,60.1,53.1,42.3,34.4,25.0,36.1,40.1,50.3,63.8,73.7,81.7,85.4,83.9,76.8,65.7,52.3,39.9
