,College,Geographic Location,county,state
105,Miami,"Miami, FL", Miami-Dade County, FL
106,Miami (FL),"Miami, FL", Miami-Dade County, FL
107,Miami (OH),"Miami, OH",Miami County, OH
108,Michigan,"Ann Arbor, MI", Washtenaw County, MI
109,Michigan St.,"East Lansing, MI", Ingham County, MI
110,Michigan State,"East Lansing, MI", Ingham County, MI
111,Middle Tennessee St.,"Murfreesboro, TN", Rutherford County, TN
112,Middle Tennessee State,"Murfreesboro, TN", Rutherford County, TN
113,Minnesota,"Minneapolis, MN", Hennepin County, MN
114,Minnesota-Morris,"Morris, MN", Stevens County, MN
115,Mississippi,"Oxford, MS", Oakland County, MS
116,Mississippi St.,"Starkville, MS", Oktibbeha County, MS
117,Mississippi State,"Starkville, MS", Oktibbeha County, MS
118,Missouri,"Columbia, MO", Boone County, MO
119,Missouri Southern,"Joplin, MO", Jasper County, MO
120,Missouri Western,"St. Joseph, MO", Buchanan County, MO
121,Montana,"Missoula, MT", Missoula County, MT
122,Montana St,"Bozeman, MT", Gallatin County, MT
123,Montana State,"Bozeman, MT", Gallatin County, MT
124,Morgan State,"Baltimore, MD",, MD
125,Navy,"Annapolis, MD", Anne Arundel County, MD
126,Nebraska,"Lincoln, NE", Lancaster County, NE
127,Nevada,"Reno, NV", Washoe County, NV
128,New Mexico,"Albuquerque, NM", Bernalillo County, NM
129,New Mexico St.,"Las Cruces, NM", Doña Ana County, NM
130,New Mexico State,"Las Cruces, NM", Doña Ana County, NM
131,Nicholls State,"Thibodaux, LA", Lafourche Parish, LA
132,Norfolk State,"Norfolk, VA",, VA
133,North Alabama,"Florence, AL", Bexar County, AL
134,North Carolina,"Chapel Hill, NC", Orange County, NC
135,North Carolina A&T,"Greensboro, NC", Guilford County, NC
136,North Carolina Central,"Durham, NC", Durham County, NC
137,North Carolina St.,"Raleigh, NC", Wake County, NC
138,North Carolina State,"Raleigh, NC", Wake County, NC
139,North Dakota St,"Fargo, ND", Cass County, ND
140,North Dakota State,"Fargo, ND", Cass County, ND
141,North Texas,"Denton, TX",Denton County, TX
142,Northern Arizona,"Flagstaff, AZ", Coconino County, AZ
143,Northern Colorado,"Greeley, CO",Greeley County, CO
144,Northern Illinois,"DeKalb, IL",DeKalb County, IL
145,Northern Iowa,"Cedar Falls, IA",, IA
146,Northwestern,"Evanston, IL", Cook County, IL
147,Northwestern St. (LA),"Natchitoches, LA", Natchitoches Parish, LA
148,Northwestern State,"Natchitoches, LA", Natchitoches Parish, LA
149,Notre Dame,"Notre Dame, IN", Saint Joseph County, IN
150,Ohio,"Athens, OH",Athens County, OH
151,Ohio St.,"Columbus, OH", Franklin County, OH
152,Ohio State,"Columbus, OH", Franklin County, OH
153,Oklahoma,"Norman, OK",, OK
154,Oklahoma St.,"Stillwater, OK",, OK
155,Oklahoma State,"Stillwater, OK",, OK
156,Old Dominion,"Norfolk, VA",, VA
157,Oregon,"Eugene, OR", Lane County, OR
158,Oregon St.,"Corvallis, OR", Benton County, OR
159,Oregon State,"Corvallis, OR", Benton County, OR
160,Penn St.,"State College, PA", Centre County, PA
161,Penn State,"University Park, PA", Lafayette County, PA
162,Pittsburgh,"Pittsburgh, PA", Allegheny County, PA
163,Portland State,"Portland, OR", Multnomah County, OR
164,Purdue,"West Lafayette, IN", Tippecanoe County, IN
165,Rice,"Houston, TX", Harris County, TX
166,Richmond,"Richmond, VA",, VA
167,Rutgers,"Piscataway, NJ", Middlesex County, NJ
168,Sam Houston State,"Huntsville, TX", Walker County, TX
169,Samford,"Homewood, AL", Jefferson County, AL
170,San Diego,"San Diego, CA", San Diego County, CA
171,San Diego St.,"San Diego, CA", San Diego County, CA
172,San Diego State,"San Diego, CA", San Diego County, CA
173,San Jose St,"San Jose, CA", Santa Clara County, CA
174,San Jose St.,"San Jose, CA", Santa Clara County, CA
175,San Jose State,"San Jose, CA", Santa Clara County, CA
176,Savannah State,"Savannah, GA", Chatham County, GA
177,Shepherd,"Shepherdstown, WV", Jefferson County, WV
178,SMU,"Dallas, TX", Dallas County, TX
179,South Alabama,"Mobile, AL", Dearborn County, AL
180,South Carolina,"Columbia, SC", Richland County, SC
181,South Carolina State,"Orangeburg, SC", Orangeburg County, SC
182,South Dakota St.,"Brookings, SD",Brookings County, SD
183,South Florida,"Tampa, FL", Hillsborough County, FL
184,Southeastern Louisiana,"Hammond, LA", Lake County, LA
185,Southern,"Baton Rouge, LA", East Baton Rouge Parish, LA
186,Southern California,"Los Angeles, CA", Los Angeles County, CA
187,Southern Illinois,"Carbondale, IL", Jackson County, IL
188,Southern Methodist,"Dallas, TX", Dallas County, TX
189,Southern Miss,"Hattiesburg, MS", Forrest County, MS
190,Southern Oregon,"Ashland, OR", Jackson County, OR
191,Southern Utah,"Cedar City, UT", Iron County, UT
192,Stanford,"Stanford, CA", Santa Clara County, CA
193,Stillman,"Tuscaloosa, AL", Jefferson County, AL
194,Syracuse,"Syracuse, NY", Onondaga County, NY
195,TCU,"Fort Worth, TX", Tarrant County, TX
196,Temple,"Philadelphia, PA", Philadelphia County, PA
197,Tennessee,"Knoxville, TN", Knox County, TN
198,Tennessee State,"Nashville, TN", Davidson County, TN
199,Tennessee Tech,"Cookeville, TN", Putnam County, TN
200,Tennessee-Martin,"Martin, TN", Weakley County, TN
201,Texas,"Austin, TX", Travis County, TX
202,Texas A&M,"College Station, TX", Brazos County, TX
203,Texas A&M-Commerce,"Commerce, TX", Hunt County, TX
204,Texas Christian,"Fort Worth, TX", Tarrant County, TX
205,Texas College,"Tyler, TX", Smith County, TX
206,Texas St.,"San Marcos, TX", Hays County, TX
207,Texas State,"San Marcos, TX", Hays County, TX
208,Texas Tech,"Lubbock, TX", Lubbock County, TX
209,Texas-El Paso,"El Paso, TX", El Paso County, TX
210,Texas-San Antonio,"San Antonio, TX", Bexar County, TX
211,Toledo,"Toledo, OH", Lucas County, OH
212,Towson,"Towson, MD", Baltimore County, MD
213,Troy,"Troy, AL", San Francisco City and County, AL
214,Tulane,"New Orleans, LA", Orleans Parish, LA
215,Tulsa,"Tulsa, OK", Tulsa County, OK
216,UC Davis,"Davis, CA", Yolo County, CA
217,UCLA,"Los Angeles, CA", Los Angeles County, CA
218,UNLV,"Las Vegas, NV", Clark County, NV
219,USC,"Los Angeles, CA", Los Angeles County, CA
220,Utah,"Salt Lake City, UT", Salt Lake County, UT
221,Utah St.,"Logan, UT", Cache County, UT
222,Utah State,"Logan, UT", Cache County, UT
223,Vanderbilt,"Nashville, TN", Davidson County, TN
224,Villanova,"Villanova, PA", Delaware County, PA
225,Virginia,"Charlottesville, VA",, VA
226,Virginia Tech,"Blacksburg, VA", Montgomery County, VA
227,Wake Forest,"Winston-Salem, NC", Forsyth County, NC
228,Washington,"Seattle, WA", King County, WA
229,Washington St.,"Pullman, WA", Whitman County, WA
230,Washington State,"Pullman, WA", Whitman County, WA
231,Wayne State (MI),"Detroit, MI", Wayne County, MI
232,Weber State,"Ogden, UT", Weber County, UT
233,West Georgia,"Carrollton, GA", Carroll County, GA
234,West Liberty,"West Liberty, WV", Ohio County, WV
235,West Texas A&M,"Canyon, TX", Randall County, TX
236,West Virginia,"Morgantown, WV", Monongalia County, WV
237,Western Carolina,"Cullowhee, NC", Jackson County, NC
238,Western Kentucky,"Bowling Green, KY", Warren County, KY
239,Western Michigan,"Kalamazoo, MI", Kalamazoo County, MI
240,Wisconsin,"Madison, WI", Dane County, WI
241,Wyoming,"Laramie, WY", Livingston County, WY
242,Yale,"New Haven, CT", Prince George's County, CT
243,Youngstown State,"Youngstown, OH", Mahoning County, OH
